InvoiceID	JobID	InvoiceDate	 InvoiceAmt 	CheckDate	 PaidAmt 	CheckNum	 Notes 	
2101	1569	9/24/2011	 812.50 	9/28/2011	 812.50 	100463		
2102	1009	9/24/2011	 460.00 	9/28/2011	 460.00 	100462		
2103	1008	9/17/2011	 600.00 	10/19/2011	 600.00 	100489		
2104	1391	9/27/2011	 985.50 	10/24/2011	 985.50 	9329		
2105	1528	12/6/2011	 1,100.00 	12/6/2011	 1,100.00 	24117		
2106	1529	2/8/2012	 1,100.00 	2/6/2012	 1,100.00 	24323		
2107	1530	3/21/2012	 1,100.00 	3/21/2012	 1,100.00 	24531		
2108	1574	3/22/2012	 450.00 	3/21/2012	 450.00 	24532		
2109	1531	5/29/2012	 975.00 	5/1/2012	 975.00 	24699		
2110	1532	5/30/2012	 975.00 	5/1/2012	 975.00 	24699		
2111	1535	6/0/12	 725.00 		    			
2112	1533	6/11/2012	 595.00 	6/7/2012	 595.00 	24815		
2113	1534	6/12/2012	 550.00 	6/7/2012	 550.00 	24815		
2114	1538	9/22/2011	 635.00 	10/21/2011	    	656288		
2115	1539	9/27/2011	 557.00 	10/28/2011	 557.00 	657295		
2116	1563	9/19/2011	 475.00 	1/27/2012	 475.00 	3288107		
2117	1554	9/21/2011	 581.25 	10/7/2011	 581.25 	448		
2118	1596	9/18/2011	 650.00 	11/17/2011	 650.00 	3267652		
2119	1540	9/29/2011	 557.00 	10/28/2011	 557.00 	657295		
2120	1548	10/1/2011	 905.00 	10/20/2011	 905.00 	84821		
2121	1576	9/30/2011	 825.00 	11/9/2011	 825.00 	746784		
2122	1406	9/20/2011	 250.00 	10/24/2011	 250.00 	9329		
2123	1522	9/21/2011	 250.00 	10/24/2011	 250.00 	9329		
2124	1440	9/28/2011	 200.00 	12/9/2011	 200.00 	636588		
2125	1432	9/13/2011	 325.00 	12/9/2011	 325.00 	636588		
2126	1439	9/27/2011	 385.00 	12/9/2011	 385.00 	636588		
2127	1441	9/29/2011	 325.00 	12/9/2011	 325.00 	636588		
2128	1443	9/30/2011	 200.00 	12/9/2011	 200.00 	636588		
2129	1606	10/24/2011	 385.00 	10/10/2011	 385.00 	2458761		
2130	1546	10/1/2011	 825.00 	10/20/2011	 825.00 	84821		
2131	1547	10/1/2011	 825.00 	10/20/2011	 825.00 	84821		
2132	1551	10/2/2011	 1,698.80 	10/19/2011	 1,698.00 	444093		
2133	1558	10/3/2011	 932.80 	10/19/2011	 932.80 	444093		
2134	1559	10/4/2011	 932.80 	10/19/2011	 932.80 	444093		
2135	1560	10/5/2011	 932.80 	10/19/2011	 932.80 	444093		
2136	1561	10/6/2011	 932.80 	10/19/2011	 932.80 	444093		
2137	1562	10/7/2011	 1,698.80 	10/19/2011	 1,698.80 	444093		
2138	1444	10/4/2011	 325.00 	12/9/2011	 325.00 	636588		
2139	1412	10/4/2011	 200.00 	10/24/2011	 200.00 	9329		
2140	1438	9/27/2011	 325.00 	12/9/2011	 325.00 	636588		
2141	1598	10/7/2011	 235.00 	10/24/2011	 235.00 	9329		
2142	1610	10/8/2011	 600.00 	11/4/2011	 600.00 	100508		
2143	1600	10/1/2011	 240.00 	11/17/2011	 240.00 	3267652		
2144	1640	10/20/2011	 793.75 	11/2/2011	 793.75 	25510		
2145	1608	10/14/2011	 325.00 	10/27/2011	 325.00 	1333		
2146	1611	10/14/2011	 325.00 	10/27/2011	 325.00 	1333		
2147	2648	10/20/2011	 325.00 	10/27/2011	 325.00 	1333		
2148	1595	9/28/2011	 300.00 	11/11/2011	 300.00 	15016		
2149	1599	10/25/2011	 637.50 	11/16/2011	 637.50 	445159		
2150	1585	10/25/2011	 450.00 	10/27/2011	 450.00 	24031		
2151	1618	10/18/2011	 385.00 	12/9/2011	 385.00 	636588		
2152	1536	10/15/2011	 600.00 	9/20/2011	 600.00 	10943		
2153	1609	10/21/2011	 740.00 	11/9/2011	 740.00 	1175	 wilderness art paid 	
2154	1448	10/18/2011	 385.00 	12/9/2011	 385.00 	636588		
2155	1616	10/17/2011	 385.00 	12/9/2011	 385.00 	636588		
2156	2156	10/6/2011	 325.00 	12/9/2011	 325.00 	636588		
2157	1442	9/29/2011	 325.00 	12/9/2011	 325.00 	636588		
2158	1446	10/6/2011	 385.00 	12/9/2011	 385.00 	636588		
2159	1447	10/13/2011	 325.00 	12/9/2011	 325.00 	636588		
2160	1619	10/25/2011	 385.00 	12/9/2011	 385.00 	636588		
2161	1449	10/25/2011	 385.00 	12/9/2011	 385.00 	636588		
2162	1617	10/26/2011	 385.00 	12/9/2011	 385.00 	636588		
2163	2652	10/21/2011	 725.00 	11/18/2011	 725.00 	660437		
2164	1594	10/29/2011	 410.00 	11/11/2011	 410.00 	15016		
2165	1604	10/5/2011	 300.00 	11/11/2011	 300.00 	15016		
2166	1612	10/7/2011	 400.00 	11/15/2011	 400.00 	15038		
2167	1592	10/8/2011	 410.00 	11/11/2011	 410.00 	15016		
2168	1613	10/9/2011	 350.00 	11/15/2011	 350.00 	15038		
2169	1614	10/9/2011	 350.00 	11/15/2011	 350.00 	15038		
2170	2655	11/17/2011	 1,165.00 	11/22/2011	 1,165.00 	445398		
2171	2657	10/29/2011	 751.50 	11/16/2011	 751.50 	445159		
2172	2656	10/29/2011	 475.00 	11/16/2011	 475.00 	445159		
2173	2669	10/29/2011	 845.50 	11/16/2011	 845.50 	445159		
2174	2660	10/26/2011	 385.00 	12/7/2011	 385.00 	445828		
2175	2661	10/27/2011	 497.50 	11/16/2011	 497.50 	445159		
2176	1602	10/26/2011	 637.50 	11/16/2011	 637.50 	445159		
2177			    		    			
2178	1626	10/13/2011	 422.50 	12/1/2011	 422.50 	3272082		
2179	1450	10/27/2011	 385.00 	12/9/2011	 385.00 	636588		
2180	2665	10/27/2011	 325.00 	11/15/2011	 325.00 	15038		
2181	1010	10/29/2011	 600.00 	1/11/2012	 600.00 	100568		
2182	2673	10/15/2011	 385.00 	11/4/2011	 385.00 	100511		
2183	1415	10/25/2011	 250.00 	1/17/2012	 250.00 	9625		
2184	1414	10/13/2011	 225.00 	1/17/2012	 225.00 	9625		
2185	2647	10/19/2011	 385.00 	11/17/2011	 385.00 	3267652		
2186	2186	10/27/2011	 385.00 	12/9/2011	 385.00 	636588		
2187	2674	10/14/2011	 300.00 	11/7/2011	 300.00 	1957		
2188	1615	10/15/2011	 325.00 	11/17/2011	 325.00 	1957		
2189	2672	11/1/2011	 375.00 	11/10/2011	 375.00 	1342		
2190	1451	11/1/2011	 325.00 	12/9/2011	 325.00 	636588		
2191	2680	11/2/2011	 240.00 	1/17/2012	 250.00 	9625		
2192	2682	11/2/2011	 385.00 	11/17/2011	 385.00 	3267652		
2193	2685	11/3/2011	 393.75 	11/18/2011	 393.75 	15060		
2194	1623	11/3/2011	 385.00 	12/9/2011	 385.00 	636588		
2195	1627	11/4/2011	 450.00 	12/28/2011	 450.00 	24168		
2196	2664	11/4/2011	 385.00 	11/17/2011	 385.00 	1000839		
2197	2690	11/5/2011	 655.00 	11/18/2011	 655.00 	15060		
2198	1452	11/3/2011	 325.00 	12/9/2011	 325.00 	636588		
2199	2689	11/5/2011	 655.00 	11/18/2011	 655.00 	15060		
2200	2687	11/5/2011	 375.00 	11/10/2011	 375.00 	1342		
2201	2681	11/2/2011	 460.00 	11/17/2011	 460.00 	3627652		
2202	2679	11/1/2011	 385.00 	12/9/2011	 385.00 	636588		
2203	2676	11/2/2011	 325.00 	11/10/2011	 475.00 	1342		
2204	2686	11/3/2011	 545.00 	11/18/2011	 545.00 	15060		
2205	2651	11/4/2011	 879.50 	11/30/2011	 879.50 	445644		
2206	1638	11/4/2011	 385.00 	12/9/2011	 385.00 	636588		
2207	2692	11/5/2011	 655.00 	11/18/2011	 655.00 	15060		
2208	2702	11/8/2011	 325.00 	12/6/2011	 325.00 	15140		
2209	2654	11/8/2011	 1,290.00 	11/30/2011	 1,290.00 	445644		
2210	1625	11/9/2012			    		 duplicate 	
2211	1625	11/9/2011	 492.50 	12/7/2011	 492.50 	445828		
2212	2708	11/10/2011	 325.00 	12/6/2011	 325.00 	15140		
2213	2706	11/14/2011	 885.00 	1/11/2012	 885.00 	446913		
2214	2693	11/6/2011	 600.00 	12/6/2011	 600.00 	15140		
2215	2694	11/6/2011	 435.00 	12/6/2011	 435.00 	15140		
2216	2695	11/7/2011	 385.00 	12/1/2011	 385.00 	662223		
2217	1639	11/8/2011	 435.00 	12/9/2011	 435.00 	636588		
2218	2677	11/12/2011	 550.00 	11/22/2011	 550.00 	100524		
2219	2711	11/12/2011	 385.00 	11/22/2011	 385.00 	100524		
2220	2723	12/15/2011	    		    		 was cancelled early 	
2221	2649	11/15/2011	 1,299.75 	1/25/2012	 1,299.75 	447373		
2222	2655	11/17/2011	 187.50 	12/7/2011	 187.50 	445828	 overtime charge see2170 	
2223	1645	11/18/2011	 875.00 	12/7/2011	 875.00 	445828		
2224	2712	11/18/2011	 880.00 	12/14/2011	 880.00 	446116		
2225	1620	11/17/2011	 385.00 	2/7/2012	 385.00 	641877		
2226	1624	11/17/2011	 385.00 	2/7/2012	 385.00 	641877		
2227	2700	11/18/2011	 800.00 	2/7/2012	 800.00 	641877		
2228	2716	11/18/2011	 385.00 	5/2/2012	 385.00 	649554		
2229	2683	11/19/2011	 325.00 	11/28/2011	 325.00 	1351		
2230	2864	11/19/2011	 300.00 	11/28/2011	 300.00 	1351		
2231	2707	11/22/2011	 695.00 	1/11/2012	 695.00 	446913		
2232	2703	12/7/2011	 652.50 	11/22/2011	 652.50 	445398		
2233	2731	12/1/2011	 991.00 	2/5/2012	 991.00 	direct deposit		
2234	1455	11/29/2011	 422.50 	2/7/2012	 422.50 	641877		
2235	1456	11/29/2011	 460.00 	2/7/2012	 460.00 	641877		
2236	2730	11/30/2011	 385.00 	2/7/2012	 385.00 	641877		
2237	2732	12/1/2011	 450.00 	2/9/2012	 450.00 	24330		
2238			    		    			
2239	1457	12/1/2011	 385.00 	2/7/2012	 385.00 	641877		
2240	1458	12/2/2011	 385.00 	2/7/2012	 385.00 	641877		
2241	2754	12/17/2011	 600.00 	1/3/2012	 600.00 	100563		
2242								
2243	2721	12/13/2011	 325.00 	0	    	0	 duplicate job 2277 	
2244	2659	12/13/2011	 450.00 	2/7/2012	 450.00 	641877		
2245	2755	12/14/2012	    		    			
2246	1636	12/15/2011	 385.00 	5/2/2012	 385.00 	649554		
2247	2733	12/9/2011	 422.50 	5/2/2012	 422.50 	649554		
2248	2755	12/14/2011	 450.00 	2/6/2012	 450.00 	24330		
2249	2724	12/6/2011	 550.00 	1/18/2012	 550.00 	4275		
2250	1462	12/5/2011	 385.00 	2/7/2012	 385.00 	641877		
2251					    			
2252	2650	11/30/2011	 585.00 	1/19/2012	 585.00 	447132		
2253	2734	12/7/2011	 550.00 	1/25/2012	 550.00 	447373		
2254	2701	12/8/2012	    		    			
2255	2739	12/9/2011	 570.00 		    			
2256					    			
2257	1464	12/12/2011	 422.50 	2/7/2012	 422.50 	641877		
2258	1628	12/16/2011	 600.00 	2/7/2012	 600.00 	641877		
2259	1466	12/20/2011	 460.00 	2/7/2012	 460.00 	641877		
2260					    			
2261	2738	12/9/2011	 570.00 		    			
2262	2262	12/2/2011	 465.00 	1/19/2012	 465.00 	447132		
2263	1632	12/6/2011	 385.00 	5/2/2012	 385.00 	649554		
2264	2719	12/6/2011	 400.00 	5/2/2012	 400.00 	649554		
2265	2713	12/7/2011	 550.00 	1/25/2012	 550.00 	447373		
2266	2714	12/7/2011	 550.00 	1/25/2012	 550.00 	447373		
2267	2658	12/8/2011	 450.00 	5/2/2012	 450.00 	649554		
2268	1469	12/28/2011	 535.00 	2/7/2012	 535.00 	641877		
2269	1470	12/29/2011	 422.50 	2/7/2012	 422.50 	641877		
2270	2758	12/30/2011	 410.00 	2/7/2012	 410.00 	641877		
2271	2701	12/8/2011	 425.00 	1/19/2012	 425.00 	447132		
2272	2735	12/8/2011	 425.00 	1/19/2012	 425.00 	447132		
2273	2725	11/29/2011	 385.00 	0/0/0	    	0	 cancelled 	
2274	2737	12/8/2011	 350.00 	1/9/2012	 350.00 	1069		
2275	2678	12/13/2011	 1,375.00 	1/25/2012	 1,375.00 	447373		
2276	2696	12/15/2011	    		    			
2277	2720	12/13/2011	 325.00 	2/7/2012	 325.00 	641877		
2278	1578	12/20/2011	 750.00 	2/7/2012	 750.00 	641877		
2279	1629	12/21/2011	 610.00 	2/7/2012	 610.00 	641877		
2280	2736	12/28/2011	 460.00 	2/7/2012	 460.00 	641877		
2281	2779	12/28/2011	 385.00 	5/2/2012	 385.00 	649554		
2282	1636	12/15/2011	    		    			
2283	2789	1/17/2012	 625.00 	1/19/2012	 625.00 	447132	 p1251036 	
2284	1471		    		    			
2285	1471	1/4/2012	 325.00 	2/7/2012	 325.00 	641877		
2286	2740	1/4/2012	 450.00 	2/7/2012	 450.00 	641877		
2287	2287	1/10/2012	 385.00 	2/7/2012	 385.00 	641877		
2288	1472	1/6/2012	 325.00 	2/7/2012	 325.00 	641877		
2289	2750	1/10/2012	 325.00 	2/7/2012	 325.00 	641877		
2290	2809	1/10/2012	 450.00 	2/2/2012	 450.00 	3289925		
2291	1474	1/11/2012	 325.00 	2/7/2012	 325.00 	641877		
2292	2471	1/11/2012	 450.00 	2/7/2012	 450.00 	641877		
2293	2276	1/11/2012	 450.00 	2/6/2012	 450.00 	24330		
2294	2743	1/12/2012	 325.00 	2/7/2012	 325.00 	641877		
2295	2751	1/12/2012	 550.00 	1/18/2012	 550.00 	4276		
2296	2769	1/12/2012	 325.00 	2/7/2012	 325.00 	641877		
2297	2811	1/12/2012	 1,131.25 	2/6/2012	 1,131.25 	24330		
2298	1630	1/13/2012	 435.00 	2/7/2012	 435.00 	641877		
2299	2781	1/13/2012	 550.00 	1/18/2012	 550.00 	4277		
2300	2745	1/16/2012	 2,000.00 	2/2/2012	 2,000.00 	1034		
2301	2752	1/16/2012	 422.50 	2/7/2012	 422.50 	641877		
2302	2819	1/17/2012	 385.00 	2/27/2012	 385.00 	1282		
2303	2820	1/18/2012	 385.00 	2/27/2012	 385.00 	1282		
2304			    		    			
2305	2768	1/17/2012	 325.00 	2/7/2012	 325.00 	641877		
2306	2770	1/17/2012	 325.00 	2/7/2012	 325.00 	641877		
2307			    		    			
2308			    		    			
2309	1475	1/18/2012	 325.00 	2/7/2012	 325.00 	641877		
2310	2729	1/18/2012	 513.75 	2/17/2012	 513.75 	448386		
2311	2800	1/18/2012	 675.00 	2/1/2012	 675.00 	821		
2312	2823	1/18/2012	 450.00 	2/6/2012	 450.00 	24330		
2313	1634	1/19/2012	 385.00 	2/7/2012	 385.00 	641877		
2314	2757	1/19/2012	 725.00 	2/17/2012	 725.00 	448386		
2315	1476	1/20/2012	 385.00 	2/7/2012	 385.00 	641877		
2316	1631	1/20/2012	 460.00 	2/7/2012	 460.00 	641877		
2317	2787	1/20/2012	    		    		 see 2300 	
2318	2794	1/20/2012	 150.00 	2/7/2012	 150.00 	641877		
2319	2822	1/20/2012	 460.00 	2/10/2012	 460.00 	9706	 check says Inv 2318 	
2320	2746	1/21/2012	    		    	DHT Cancelled		
2321	1635	1/17/2012	 385.00 	2/7/2012	 385.00 	641877		
2322					    			
2323					    			
2324					    			
2325	2830	1/25/2012	 400.00 	3/15/2012	 400.00 	3302178		
2326					    			
2327					    			
2328	2828	1/22/2012	 250.00 	2/3/2012	 250.00 	2994		
2329	2829	1/24/2012	 300.00 	2/21/2012	 300.00 	100588		
2330	2715	1/26/2012	 650.00 	2/10/2012	 650.00 	9706		
2331	2827	1/28/2012	 507.75 	3/15/2012	 507.75 	2007387		
2332	2843	1/27/2012	 507.75 	3/15/2012	 507.75 	2007387		
2333	2840	1/29/2012	 460.00 	2/9/2012	 460.00 	3291779		
2334	2841	1/29/2012	 503.00 	2/9/2012	 503.00 	3291779		
2335	2482	1/29/2012	 460.00 	3/15/2012	 460.00 	3302178		
2336	2846	1/30/2012	 385.00 	2/9/2012	 385.00 	3291779		
2337	2844	1/30/2012	 385.00 	2/9/2012	 385.00 	3291779		
2338	2845	1/30/2012	 385.00 	3/15/2012	 385.00 	3302178		
2339	2782	1/28/2012	 487.50 	2/29/2012	 487.50 	4310		
2340	2826	1/24/2012	 520.00 	5/15/2012	 520.00 	650786		
2341	1478	1/26/2012	 325.00 	5/2/2012	 325.00 	649554		
2342	1590	2/2/2012	 525.00 	3/20/2012	 525.00 	24514		
2343	2788	2/3/2012	 700.00 	3/30/2012	 700.00 	646622		
2344	2853	2/4/2012	 710.00 	5/2/2012	 710.00 	649554		
2345	2851	2/2/2012	 325.00 	5/2/2012	 325.00 	649554		
2346	2833	2/2/2012	 385.00 	5/2/2012	 385.00 	649554		
2347	2662	2/3/2012	 385.00 	3/30/2012	 385.00 	646622		
2348	2854	2/22/2012	 572.50 	2/15/2012	 572.50 	24378		
2349	2852	2/7/2012	 641.25 	3/1/2012	 641.25 	448567		
2350					    			
2351					    			
2352					    			
2353					    			
2354					    			
2355					    			
2356					    			
2357					    			
2358					    			
2359					    			
2360	2874	2/14/2012	 460.00 	5/2/2012	 460.00 	649554		
2360					    			
2361					    			
2362	2886	2/22/2012	    		    		 cancelled 	
2363					    			
2364	2856	2/6/2012	 450.00 	3/20/2012	 450.00 	24514		
2365	2796	2/6/2012	 385.00 	5/2/2012	 385.00 	649554		
2366	2877	2/7/2012	 450.00 	3/20/2012	 450.00 	24514		
2367	2837	2/9/2012	 591.25 	3/30/2012	 591.25 	646622		
2368	2838	2/9/2012	 625.00 	3/28/2012	 625.00 	449646		
2369	2895	2/10/2012	 790.00 	3/15/2012	 790.00 	15564		
2370	2896	2/10/2012	 790.00 	3/15/2012	 790.00 	15564		
2371	2897	2/10/2012	 790.00 	3/13/2012	 790.00 	15574		
2372	2810	2/11/2012	 1,150.00 	2/21/2012	 1,150.00 	100586		
2373	2835	2/14/2012	 600.00 	2/29/2012	 600.00 	4311		
2374	2908	2/14/2012	 300.00 	5/8/2012	 300.00 	1283		
2375	1637	2/14/2012	 553.75 	5/2/2012	 553.75 	649554		
2376	1482	2/14/2012	 325.00 	5/2/2012	 325.00 	649554		
2377	2909	2/15/2012	 577.50 	4/25/2012	 577.50 	450691		
2378	2836	2/16/2012	 577.50 	2/29/2012	 577.50 	4312		
2379	2882	2/16/2012	 591.25 	3/30/2012	 591.25 	646622		
2380	2905	2/16/2012	 450.00 	3/20/2012	 450.00 	24514		
2381	2808	2/16/2012	 495.00 	4/9/2012	 495.00 	14894		
2382	2831	2/21/2012	 325.00 	5/2/2012	 325.00 	649554		
2383	2834	2/21/2012	 385.00 	5/2/2012	 385.00 	649554		
2384	2885	2/21/2012	 478.75 	5/2/2012	 478.75 	649554		
2385	2919	2/21/2012	 575.00 	3/20/2012	 575.00 	24514		
2386	1484	2/21/2012	 456.00 	5/2/2012	 456.00 	649554		
2387	2887	2/22/2012	 403.75 	5/2/2012	 403.75 	649554		
2388	2915	2/22/2012	 385.00 	5/2/2012	 385.00 	649554		
2389	2801	2/23/2012	 495.00 	4/9/2012	 495.00 	14894		
2390	2832	2/24/2012	 450.00 	5/2/2012	 450.00 	649554		
2391	2916	2/25/2012	 175.00 	5/2/2012	 175.00 	649554	 on spot cancel 	
2392	2913	2/27/2012	 497.50 	2/24/2012	 497.50 	540		
2393	2393	2/28/2012	 395.00 	5/2/2012	 395.00 	649554		
2394	2942	2/28/2012	 350.00 	3/30/2012	 350.00 	646622	 Teresa sent 	
2395	2943	2/28/2012	 475.00 	5/16/2012	 475.00 	451676		
2396	2945	2/28/2012	 507.50 	5/16/2012	 507.50 	451676		
2397	2917	2/28/2012	 385.00 	5/2/2012	 385.00 	649554		
2398	2920	2/28/2012	 562.50 	7/13/2012	 562.50 	1880		
2399	2756	2/28/2012	 695.75 	3/1/2012	 695.75 	448567		
2400			    		    			
2401	2914	2/29/2012	 497.50 	2/24/2012	 497.50 	540		
2402	2921	2/29/2012	 385.00 	5/2/2012	 385.00 	649554		
2403	2946	2/29/2012	 450.00 	3/20/2012	 450.00 	24514		
2404	2848	3/1/2012	 662.50 	2/29/2012	 662.50 	4313		
2405	2892	3/1/2012	 505.00 	3/28/2012	 505.00 	449646		
2406	2802	3/1/2012	 495.00 	4/9/2012	 495.00 	14894		
