Driver,Date,Start time,End time,Vehicle,Usage Time,Duration,Driving time,Standstill,Start odometer,End odometer,Distance,Start location,End location
Unknown,1684566000000,77000000,86119000,"2302  - 2302, 2503  - 2503, 2802  - 2802, 3501  - 3501, 3601  - 3601, 3602 - 3602, 3801  - 3801, 4402  - 4402",0,195420000,124140000,71280000,124900,79823,1114.1,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US","DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US"
Unknown,1684652400000,19515000,79442000,"2802  - 2802, 4402  - 4402",0,30120000,22500000,7620000,125044,79846,344.7,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US","4051 Grand Ave, Oakland CA 94610, US"
Unknown,1684738800000,20799000,73181000,"2503  - 2503, 2802  - 2802, 3501  - 3501, 3601  - 3601, 3602 - 3602, 3801  - 3801, 4001  - 4001, 4402  - 4402",0,153120000,107580000,45540000,79846,125638,1236.8,"8 Wildwood Ave, Piedmont CA 94610, US","DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US"
Unknown,1684825200000,24308000,67185000,"3501  - 3501, 3601  - 3601, 3602 - 3602, 4001  - 4001, 4402  - 4402, 4403 - 4403",0,63360000,41940000,21420000,138306,13301,367.1,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US","Teagarden St, San Leandro CA 94577, US"
Unknown,1684911600000,26069000,65501000,"2802  - 2802, 3501  - 3501, 3601  - 3601, 3602 - 3602, 3801  - 3801, 4001  - 4001, 4402  - 4402, 4403 - 4403",0,111480000,77820000,33660000,388380,125958,753.2,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US","DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US"
Unknown,1684998000000,25259000,65713000,"2503  - 2503, 2802  - 2802, 3501  - 3501, 3601  - 3601, 3602 - 3602, 4001  - 4001, 4402  - 4402",0,123360000,89280000,34080000,80192,10602,728.7,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US","DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US"
Unknown,1685084400000,17870000,75180000,"2302  - 2302, 2802  - 2802, 3501  - 3501, 3601  - 3601, 3602 - 3602, 3801  - 3801, 4001  - 4001, 4402  - 4402, 4403 - 4403",0,190500000,136560000,53940000,13333,289563,1358,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US","Crittenden Ln, Mountain View CA 94043, US"
Unknown,1685170800000,84154000,74660000,"2302  - 2302, 2503  - 2503, 3501  - 3501, 3601  - 3601, 3602 - 3602, 3801  - 3801",0,59580000,43860000,15720000,289563,388633,505.9,"Crittenden Ln, Mountain View CA 94043, US","DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US"
Unknown,1685343600000,18876000,53314000,3601  - 3601,0,26880000,24240000,2640000,50894,51181,286.7,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US","125 Grove Ave, Oakdale CA 95361, US"
Unknown,1685430000000,19143000,68097000,"2503  - 2503, 2802  - 2802, 3601  - 3601, 3602 - 3602, 3801  - 3801, 4001  - 4001",0,97260000,70020000,27240000,51181,12857,584.7,"129 Grove Ave, Oakdale CA 95361, US","DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US"
Unknown,1685516400000,27138000,66957000,"2802  - 2802, 3601  - 3601, 3602 - 3602, 4402  - 4402",0,56100000,43800000,12300000,51323,80515,375.6,"7661 State Highway 120, Groveland CA 95321, US","DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US"
