"Trip mode","Start time | End time","Departure | Arrival",Odometer,Distance,Driver,Vehicle,Purpose,Contact," "
Business,"06/30/22, 07:14 PM | 06/30/22, 08:11 PM","Departure: Aladdin Ave, San Leandro CA 94577, US | Arrival: Teagarden St, San Leandro CA 94577, US","3,685.9 mi | 3,686.5 mi","1,062 yd",—,"4001  – 4001",—,—," "
Business,"06/30/22, 03:06 PM | 06/30/22, 06:05 PM","Departure: 603 Mason St, San Francisco CA 94129, US | Arrival: DHarris Tours – HQ, 2213 Vista del Rio St, Crockett CA 94525, US","8,696.3 mi | 8,750.3 mi","54.0 mi",—,"3601  – 3601",—,—," "
Business,"06/30/22, 04:55 PM | 06/30/22, 05:51 PM","Departure: 2012 E Sir Francis Drake Blvd, San Quentin CA 94964, US | Arrival: DHarris Tours – HQ, San Pablo Ave, Crockett CA 94525, US","8,815.0 mi | 8,839.1 mi","24.1 mi",—,"3501  – 3501",—,—," "
Business,"06/30/22, 03:12 PM | 06/30/22, 05:28 PM","Departure: 82 Lincoln Blvd, San Francisco CA 94129, US | Arrival: Utah Ave, South San Francisco CA 94080, US","4,521.6 mi | 4,551.5 mi","29.9 mi",—,"3602 – 3602",—,—," "
Business,"06/30/22, 03:32 PM | 06/30/22, 05:11 PM","Departure: 95 Van Ness Ave, San Francisco CA 94102, US | Arrival: 481 Parker Ave, Rodeo CA 94572, US","8,790.2 mi | 8,824.2 mi","34.1 mi",—,"4402  – 4402",—,—," "
Business,"06/30/22, 03:14 PM | 06/30/22, 04:42 PM","Departure: Presidio Pkwy, San Francisco CA 94129, US | Arrival: 2010 E Sir Francis Drake Blvd, San Quentin CA 94964, US","8,794.5 mi | 8,815.0 mi","20.5 mi",—,"3501  – 3501",—,—," "
Business,"06/30/22, 10:43 AM | 06/30/22, 03:18 PM","Departure: 4811 N 9th St, Fresno CA 93726, US | Arrival: DHarris Tours – HQ, 2221 Vista del Rio St, Crockett CA 94525, US","9,075.8 mi | 9,300.1 mi","224.4 mi",—,"2802  – 2802",—,—," "
Business,"06/30/22, 02:59 PM | 06/30/22, 03:03 PM","Departure: Javowitz St, San Francisco CA 94129, US | Arrival: Presidio Pkwy, San Francisco CA 94129, US","8,794.0 mi | 8,794.5 mi","971 yd",—,"3501  – 3501",—,—," "
Business,"06/30/22, 02:38 PM | 06/30/22, 02:48 PM","Departure: 178 Sheridan Ave, San Francisco CA 94129, US | Arrival: 603 Mason St, San Francisco CA 94129, US","8,695.2 mi | 8,696.3 mi","1.0 mi",—,"3601  – 3601",—,—," "
Business,"06/30/22, 11:28 AM | 06/30/22, 02:11 PM","Departure: 122 Lakeside Dr, Oakland CA 94612, US | Arrival: DHarris Tours – HQ, Vista del Rio St, Crockett CA 94525, US","7,781.7 mi | 7,825.5 mi","43.8 mi",—,"3801  – 3801",—,—," "
Business,"06/30/22, 11:46 AM | 06/30/22, 01:45 PM","Departure: Javowitz St, San Francisco CA 94129, US | Arrival: Javowitz St, San Francisco CA 94129, US","8,776.2 mi | 8,794.0 mi","17.7 mi",—,"3501  – 3501",—,—," "
Business,"06/30/22, 12:13 PM | 06/30/22, 01:21 PM","Departure: 603 Mason St, San Francisco CA 94129, US | Arrival: DHarris Tours – HQ, Vista del Rio St, Crockett CA 94525, US","4,443.6 mi | 4,475.0 mi","31.4 mi",—,"2503  – 2503",—,—," "
Business,"06/30/22, 12:32 PM | 06/30/22, 01:13 PM","Departure: 1418 Judah St, San Francisco CA 94122, US | Arrival: 178 Sheridan Ave, San Francisco CA 94129, US","8,689.3 mi | 8,695.2 mi","5.9 mi",—,"3601  – 3601",—,—," "
Business,"06/30/22, 01:08 PM | 06/30/22, 01:12 PM","Departure: Mason St, San Francisco CA 94129, US | Arrival: 178 Sheridan Ave, San Francisco CA 94129, US","4,519.6 mi | 4,520.2 mi","1,063 yd",—,"3602 – 3602",—,—," "
Business,"06/30/22, 12:35 PM | 06/30/22, 12:54 PM","Departure: 1362 20th Ave, San Francisco CA 94122, US | Arrival: 602 Mason St, San Francisco CA 94129, US","4,514.4 mi | 4,519.6 mi","5.3 mi",—,"3602 – 3602",—,—," "
Business,"06/30/22, 12:04 PM | 06/30/22, 12:21 PM","Departure: 178 Sheridan Ave, San Francisco CA 94129, US | Arrival: 1414 Judah St, San Francisco CA 94122, US","8,684.2 mi | 8,689.3 mi","5.1 mi",—,"3601  – 3601",—,—," "
Business,"06/30/22, 11:53 AM | 06/30/22, 12:00 PM","Departure: Javowitz St, San Francisco CA 94129, US | Arrival: 603 Mason St, San Francisco CA 94129, US","4,442.8 mi | 4,443.6 mi","0.8 mi",—,"2503  – 2503",—,—," "
Business,"06/30/22, 11:21 AM | 06/30/22, 11:41 AM","Departure: Marine Dr, San Francisco CA 94129, US | Arrival: 1410 Judah St, San Francisco CA 94122, US","4,507.8 mi | 4,514.4 mi","6.6 mi",—,"3602 – 3602",—,—," "
Business,"06/30/22, 09:54 AM | 06/30/22, 11:01 AM","Departure: 318 Tehama St, San Francisco CA 94103, US | Arrival: 178 Sheridan Ave, San Francisco CA 94129, US","8,678.7 mi | 8,684.2 mi","5.5 mi",—,"3601  – 3601",—,—," "
Business,"06/30/22, 09:57 AM | 06/30/22, 10:47 AM","Departure: 324 Tehama St, San Francisco CA 94103, US | Arrival: Marine Dr, San Francisco CA 94129, US","4,501.1 mi | 4,507.8 mi","6.7 mi",—,"3602 – 3602",—,—," "
Business,"06/30/22, 09:13 AM | 06/30/22, 10:45 AM","Departure: 6096 Broadway, Oakland CA 94618, US | Arrival: 381 Marina Blvd, San Francisco CA 94123, US","8,762.5 mi | 8,785.6 mi","23.1 mi",—,"4402  – 4402",—,—," "
Business,"06/30/22, 07:10 AM | 06/30/22, 10:22 AM","Departure: 19B, Oakland CA 94609, US | Arrival: 4813 N 9th St, Fresno CA 93726, US","8,890.8 mi | 9,075.8 mi","185.0 mi",—,"2802  – 2802",—,—," "
Business,"06/30/22, 09:34 AM | 06/30/22, 10:14 AM","Departure: 609 Stevenson St, San Francisco CA 94103, US | Arrival: Javowitz St, San Francisco CA 94129, US","4,437.9 mi | 4,442.8 mi","4.9 mi",—,"2503  – 2503",—,—," "
