"Trip mode","Start time | End time","Departure | Arrival",Odometer,Distance,Driver,Vehicle,Purpose,Contact," "
Business,"02/28/23, 08:36 PM | 02/28/23, 11:34 PM","Departure: American River Dr, Sacramento CA 95864, US | Arrival: 4035 Grand Ave, Oakland CA 94610, US","8,736.0 mi | 8,859.3 mi","123.3 mi",—,"4403 – 4403",—,—," "
Business,"02/28/23, 04:17 PM | 02/28/23, 08:22 PM","Departure: American River Bike Trl, Sacramento CA 95864, US | Arrival: DHarris Tours – HQ, Vista del Rio St, Crockett CA 94525, US","385,254.0 mi | 385,346.3 mi","92.3 mi",—,"3801  – 3801",—,—," "
Business,"02/28/23, 04:38 PM | 02/28/23, 07:49 PM","Departure: Oak Ave, Davis CA 95616, US | Arrival: DHarris Tours – HQ, Vista del Rio St, Crockett CA 94525, US","42,389.0 mi | 42,496.6 mi","107.6 mi",—,"3601  – 3601",—,—," "
Business,"02/28/23, 05:51 PM | 02/28/23, 07:16 PM","Departure: DHarris Tours – HQ, Vista del Rio St, Crockett CA 94525, US | Arrival: 22139 Arbor Ave, Hayward CA 94541, US","116,692.5 mi | 116,729.0 mi","36.5 mi",—,"4402  – 4402",—,—," "
Business,"02/28/23, 02:58 PM | 02/28/23, 06:00 PM","Departure: Lowell High, 1095 Eucalyptus Dr, San Francisco CA 94132, US | Arrival: American River Dr, Sacramento CA 95864, US","8,627.5 mi | 8,736.0 mi","108.5 mi",—,"4403 – 4403",—,—," "
Business,"02/28/23, 04:03 PM | 02/28/23, 04:23 PM","Departure: 160 W 14th St, Davis CA 95616, US | Arrival: Oak Ave, Davis CA 95616, US","42,388.6 mi | 42,389.0 mi","815 yd",—,"3601  – 3601",—,—," "
Business,"02/28/23, 11:13 AM | 02/28/23, 02:44 PM","Departure: DHarris Tours – HQ, Vista del Rio St, Crockett CA 94525, US | Arrival: American River Bike Trl, Sacramento CA 95864, US","385,162.6 mi | 385,254.0 mi","91.4 mi",—,"3801  – 3801",—,—," "
Business,"02/28/23, 01:12 PM | 02/28/23, 02:17 PM","Departure: 401 Parker Ave, Rodeo CA 94572, US | Arrival: Lowell High, 1095 Eucalyptus Dr, San Francisco CA 94132, US","8,594.1 mi | 8,627.5 mi","33.5 mi",—,"4403 – 4403",—,—," "
Business,"02/28/23, 12:55 PM | 02/28/23, 02:16 PM","Departure: Shoreline Hwy, Mill Valley CA 94941, US | Arrival: DHarris Tours – HQ, Vista del Rio St, Crockett CA 94525, US","130,778.0 mi | 130,816.4 mi","38.4 mi",—,"3501  – 3501",—,—," "
Business,"02/28/23, 01:57 PM | 02/28/23, 02:11 PM","Departure: 2038 John Jones Rd, Davis CA 95616, US | Arrival: 160 W 14th St, Davis CA 95616, US","42,383.0 mi | 42,388.6 mi","5.6 mi",—,"3601  – 3601",—,—," "
