"Trip mode","Start time | End time","Departure | Arrival",Odometer,Distance,Driver,Vehicle,Purpose,Contact," "
Business,"12/30/22, 09:17 PM | 12/30/22, 11:20 PM","Departure: 321 Terry A Francois Blvd, San Francisco CA 94158, US | Arrival: DHarris Tours – HQ, Vista del Rio St, Crockett CA 94525, US","111,991.0 mi | 112,047.6 mi","56.6 mi",—,"4402  – 4402",—,—," "
Business,"12/30/22, 09:19 PM | 12/30/22, 10:56 PM","Departure: 321 Terry A Francois Blvd, San Francisco CA 94158, US | Arrival: DHarris Tours – HQ, 2215 Vista del Rio St, Crockett CA 94525, US","9,403.8 mi | 9,459.4 mi","55.6 mi",—,"2503  – 2503",—,—," "
Business,"12/30/22, 08:47 PM | 12/30/22, 10:53 PM","Departure: 322 Terry A Francois Blvd, San Francisco CA 94158, US | Arrival: DHarris Tours – HQ, Vista del Rio St, Crockett CA 94525, US","128,356.5 mi | 128,411.9 mi","55.4 mi",—,"3501  – 3501",—,—," "
Business,"12/30/22, 07:40 PM | 12/30/22, 09:20 PM","Departure: Cedar Blvd, Newark CA 94560, US | Arrival: Utah Ave, South San Francisco CA 94080, US","285,613.5 mi | 285,668.4 mi","54.9 mi",—,"2302  – 2302",—,—," "
Business,"12/30/22, 05:36 PM | 12/30/22, 06:48 PM","Departure: 4369 Lincoln Ave, Oakland CA 94602, US | Arrival: DHarris Tours – HQ, 69 San Pablo Ave, Crockett CA 94525, US","69,999.5 mi | 70,026.5 mi","27.0 mi",—,"2802  – 2802",—,—," "
Business,"12/30/22, 04:10 PM | 12/30/22, 06:13 PM","Departure: Lowell High, 1163 Eucalyptus Dr, San Francisco CA 94132, US | Arrival: Cedar Blvd, Newark CA 94560, US","285,567.0 mi | 285,613.5 mi","46.4 mi",—,"2302  – 2302",—,—," "
Business,"12/30/22, 02:55 PM | 12/30/22, 04:59 PM","Departure: Blacow Rd, Fremont CA 94538, US | Arrival: DHarris Tours – HQ, 2245 Vista del Rio St, Crockett CA 94525, US","383,258.0 mi | 383,325.3 mi","67.3 mi",—,"3801  – 3801",—,—," "
Business,"12/30/22, 03:59 PM | 12/30/22, 04:28 PM","Departure: 54 Warriors Way, San Francisco CA 94158, US | Arrival: 320 Terry A Francois Blvd, San Francisco CA 94158, US","128,356.0 mi | 128,356.5 mi","816 yd",—,"3501  – 3501",—,—," "
Business,"12/30/22, 04:00 PM | 12/30/22, 04:26 PM","Departure: 58 Warriors Way, San Francisco CA 94158, US | Arrival: 323 Terry A Francois Blvd, San Francisco CA 94158, US","111,990.5 mi | 111,991.0 mi","818 yd",—,"4402  – 4402",—,—," "
Business,"12/30/22, 04:02 PM | 12/30/22, 04:13 PM","Departure: 72 Warriors Way, San Francisco CA 94158, US | Arrival: 323 Terry A Francois Blvd, San Francisco CA 94158, US","9,403.3 mi | 9,403.8 mi","875 yd",—,"2503  – 2503",—,—," "
