Day,Start date,End date,Start time,End time,Duration,Location,Address No.,Vehicle,Latitude,Longitude,Odometer,Driver
Wed 3/1/23,1677644040000,1677684540000,72840000,26940000,40500000,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",001,3801  - 3801,38053138,-122240223,385346,
Wed 3/1/23,1677684900000,1677685620000,27300000,28020000,720000,"401 Parker Ave, Rodeo CA 94572, US",,3801  - 3801,38032657,-122266852,385349,
Wed 3/1/23,1677640440000,1677686160000,69240000,28560000,45720000,"22118 Arbor Ave, Hayward CA 94541, US",,4402  - 4402,37666673,-122106949,116729,
Wed 3/1/23,1677655800000,1677687360000,84600000,29760000,31560000,"4045 Grand Ave, Oakland CA 94610, US",,4403 - 4403,37819028,-122244782,8859,
Wed 3/1/23,1677686580000,1677688620000,28980000,31020000,2040000,"4970 Valley View Rd, El Sobrante CA 94803, US",,3801  - 3801,37968752,-122286945,385355,
Wed 3/1/23,1677688680000,1677689040000,31080000,31440000,360000,"1356 66th Ave, Oakland CA 94621, US",,4402  - 4402,37761753,-122193811,116740,
Wed 3/1/23,1677688920000,1677690720000,31320000,33120000,1860000,"6539 International Blvd, Oakland CA 94621, US",,4403 - 4403,37762309,-122193753,8866,
Wed 3/1/23,1677693780000,1677694680000,36180000,37080000,900000,"405 Parker Ave, Rodeo CA 94572, US",,4403 - 4403,38032762,-122266859,8893,
Wed 3/1/23,1677695100000,1677698400000,37500000,40800000,3300000,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",001,4403 - 4403,38053032,-122240173,8895,
Wed 3/1/23,1677622140000,1677699720000,50940000,42120000,77640000,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",001,3501  - 3501,38053117,-122240377,130816,
Wed 3/1/23,1677690900000,1677704580000,33300000,46980000,13740000,"68 Main St, San Quentin CA 94964, US",,3801  - 3801,37941313,-122484594,385370,
Wed 3/1/23,1677438480000,1677704580000,40080000,46980000,266100000,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",001,2302  - 2302,38053453,-122240911,287208,
Wed 3/1/23,1677700140000,1677705120000,42540000,47520000,4980000,"706 29th St, Oakland CA 94609, US",,4403 - 4403,37818952,-122272530,8916,
Wed 3/1/23,1677690960000,1677705480000,33360000,47880000,14520000,"22131 Arbor Ave, Hayward CA 94541, US",,4402  - 4402,37666706,-122106991,116751,
Wed 3/1/23,1677613680000,1677706860000,42480000,49260000,93180000,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",001,2802  - 2802,38053768,-122241023,73756,
Wed 3/1/23,1677642120000,1677706920000,70920000,49320000,64800000,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",001,3601  - 3601,38053051,-122240280,42497,
Wed 3/1/23,1677625920000,1677707880000,54720000,50280000,81960000,"Utah Ave, South San Francisco CA 94080, US",,4001  - 4001,37646626,-122401692,135111,
Wed 3/1/23,1677707220000,1677707940000,49620000,50340000,720000,"Ceres St, Crockett CA 94525, US",,2802  - 2802,38053096,-122221735,73758,
Wed 3/1/23,1677703380000,1677707940000,45780000,50340000,4560000,"Shoreline Hwy, Mill Valley CA 94941, US",,3501  - 3501,37874352,-122596843,130854,
Wed 3/1/23,1677706200000,1677708060000,48600000,50460000,1800000,"2160 Bancroft Ave, San Leandro CA 94577, US",,4402  - 4402,37718065,-122143764,116757,
Wed 3/1/23,1677708900000,1677709260000,51300000,51660000,360000,"12 E Lewelling Blvd, San Lorenzo CA 94580, US",,4402  - 4402,37686748,-122122205,116763,
Wed 3/1/23,1677709320000,1677709860000,51720000,52260000,540000,"2180 Bancroft Ave, San Leandro CA 94577, US",,3601  - 3601,37717800,-122143405,42529,
Wed 3/1/23,1677707700000,1677710280000,50100000,52680000,2580000,"2166 Bancroft Ave, San Leandro CA 94577, US",,4403 - 4403,37717995,-122143658,8931,
Wed 3/1/23,1677707820000,1677710400000,50220000,52800000,2580000,"Academy of Arts and Sciences, 555 Portola Drive, San Francisco 94131-1616, US",870,2302  - 2302,37744178,-122450352,287238,
Wed 3/1/23,1677709140000,1677710760000,51540000,53160000,1620000,"488 Buckingham Way, San Francisco CA 94132, US",,4001  - 4001,37729664,-122478128,135122,
Wed 3/1/23,1677711000000,1677712080000,53400000,54480000,1080000,"Lowell High, 1101 Eucalyptus Drive, San Francisco 94132-1401, US",891,4001  - 4001,37731099,-122483806,135123,
Wed 3/1/23,1677712560000,1677712920000,54960000,55320000,360000,"3rd St, Alameda CA 94501, US",,4403 - 4403,37771278,-122288562,8942,
Wed 3/1/23,1677712320000,1677713100000,54720000,55500000,780000,"Capistrano Dr, Oakland CA 94603, US",,3501  - 3501,37727579,-122178889,130896,
Wed 3/1/23,1677714060000,1677714900000,56460000,57300000,840000,"401 Parker Ave, Rodeo CA 94572, US",,3601  - 3601,38032632,-122266852,42561,
Wed 3/1/23,1677716460000,1677716880000,58860000,59280000,480000,"401 Parker Ave, Rodeo CA 94572, US",,3501  - 3501,38032640,-122266857,130924,
Wed 3/1/23,1677709140000,1677720660000,51540000,63060000,11520000,"Benicia Rd, Vallejo CA 94591, US",,2802  - 2802,38085919,-122200965,73764,
Wed 3/1/23,1677712080000,1677722820000,54480000,65220000,10800000,"354 34th Ave, San Francisco CA 94121, US",,2302  - 2302,37782168,-122495339,287243,
Wed 3/1/23,1677709800000,1677723840000,52200000,66240000,14040000,"22137 Arbor Ave, Hayward CA 94541, US",,4402  - 4402,37666671,-122106994,116765,
Wed 3/1/23,1677724200000,1677724620000,66600000,67020000,420000,"E Lewelling Blvd, San Lorenzo CA 94580, US",,4402  - 4402,37686922,-122121758,116767,
Wed 3/1/23,1677712980000,1677727140000,55380000,69540000,14160000,"3rd St, Alameda CA 94501, US",,4403 - 4403,37772298,-122288278,8942,
Wed 3/1/23,1677715200000,1677730140000,57600000,72540000,15000000,"Lucky Dr, Larkspur CA 94939, US",,4001  - 4001,37937317,-122525158,135140,
Wed 3/1/23,1677727920000,1677730260000,70320000,72660000,2340000,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",001,4402  - 4402,38053796,-122241029,116802,
Wed 3/1/23,1677730140000,1677730920000,72540000,73320000,780000,"407 Parker Ave, Rodeo CA 94572, US",,2302  - 2302,38032757,-122266737,287277,
Thu 3/2/23,1677715680000,1677770280000,58080000,26280000,54600000,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",001,3601  - 3601,38053084,-122240288,42564,
Thu 3/2/23,1677731460000,1677770940000,73860000,26940000,39480000,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",001,4403 - 4403,38053066,-122240193,8988,
