Vehicle,Day,Start time,End time,Downtime,Duration,Standstill,Start odometer,End odometer,Distance,Driver,Start location,End location,Fuel consumption,Average fuel consumption,+/- Reference (absolute),+/- Reference (relative)
2302  - 2302,Fri 07/07,44157000,45647000,595020000,1500000,480000,290538,290551,12.4,,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US","MacDonald Ave, Richmond CA 94801, US",,0,0,0
2302  - 2302,Fri 07/07,46420000,48733000,780000,2340000,300000,290551,290566,15.8,,"MacDonald Ave, Richmond CA 94801, US","2208 Mariner Square Loop, Alameda CA 94501, US",,0,0,0
2302  - 2302,Fri 07/07,52093000,52744000,3360000,660000,180000,290566,290569,2.2,,"2208 Mariner Square Loop, Alameda CA 94501, US","Embarcadero, Oakland CA 94607, US",,0,0,0
2302  - 2302,Fri 07/07,58439000,62497000,5700000,4080000,360000,290569,290595,26.7,,"1 Embarcadero W, Oakland CA 94607, US","DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",,0,0,0
2302  - 2302,Mon 10/07,47139000,52604000,243840000,5460000,540000,290595,290660,65.2,,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US","502 Galvez St, Stanford CA 94305, US",,0,0,0
2302  - 2302,Mon 10/07,53897000,61488000,1320000,7620000,720000,290660,290723,62.9,,"502 Galvez St, Stanford CA 94305, US","DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",,0,0,0
2302  - 2302,Tue 11/07,22881000,40163000,47820000,17280000,5700000,290723,290817,94,,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US","Hearts Desire, Inverness CA 94937, US",,0,0,0
2302  - 2302,Tue 11/07,55112000,70654000,14940000,15540000,2100000,290817,290912,94.4,,"Hearts Desire, Inverness CA 94937, US","DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",,0,0,0
2302  - 2302,Wed 12/07,29335000,34682000,45060000,5340000,1860000,290912,290950,38.5,,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US","26736 Chiplay Ave, Hayward CA 94545, US",,0,0,0
2302  - 2302,Wed 12/07,35466000,37368000,780000,1920000,480000,290950,290964,14.3,,"26740 Chiplay Ave, Hayward CA 94545, US","Tidewater Ave, Oakland CA 94601, US",,0,0,0
2302  - 2302,Wed 12/07,47658000,50680000,10320000,3000000,720000,290964,290984,19.1,,"Tidewater Ave, Oakland CA 94601, US","405 Tamarack Dr, Union City CA 94587, US",,0,0,0
2302  - 2302,Wed 12/07,51313000,55581000,660000,4260000,3420000,290984,290987,3.4,,"405 Tamarack Dr, Union City CA 94587, US","High Ridge Loop Trl, Union City CA 94587, US",,0,0,0
2302  - 2302,Wed 12/07,56707000,65843000,1140000,9120000,1320000,290987,291047,59.7,,"High Ridge Loop Trl, Union City CA 94587, US","DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",,0,0,0
2302  - 2302,Thu 13/07,28865000,32985000,49440000,4140000,300000,291047,291085,38.4,,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US","26795 Chiplay Ave, Hayward CA 94545, US",,0,0,0
2302  - 2302,Thu 13/07,33831000,35484000,840000,1680000,600000,291085,291092,7.2,,"26797 Chiplay Ave, Hayward CA 94545, US","35707 Bart Access Rd, Fremont CA 94536, US",,0,0,0
2302  - 2302,Thu 13/07,43821000,43866000,8340000,60000,0,291092,291092,0.1,,"35673 Bart Access Rd, Fremont CA 94536, US","1185 Roeding Ave, Fremont CA 94536, US",,0,0,0
2302  - 2302,Thu 13/07,50853000,52009000,6960000,1140000,540000,291092,291095,2.9,,"1185 Roeding Ave, Fremont CA 94536, US","Alameda Creek Regional Trl, Fremont CA 94536, US",,0,0,0
2302  - 2302,Thu 13/07,54604000,55155000,2580000,540000,240000,291095,291096,1.2,,"Alameda Creek Regional Trl, Fremont CA 94536, US","Quarry Lakes Dr, Fremont CA 94536, US",,0,0,0
2302  - 2302,Thu 13/07,56157000,64335000,1020000,8160000,780000,291096,291148,51.1,,"Quarry Lakes Dr, Fremont CA 94536, US","DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",,0,0,0
2302  - 2302,Fri 14/07,24265000,27696000,46320000,3420000,960000,291148,291179,31,,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US","Visitacion Valley Middle, 450 Raymond Avenue, San Francisco 94134-2354, US",,0,0,0
2302  - 2302,Fri 14/07,29415000,38709000,1740000,9300000,1140000,291179,291239,60.5,,"Visitacion Valley Middle, 450 Raymond Avenue, San Francisco 94134-2354, US","Hearts Desire, Inverness CA 94937, US",,0,0,0
2302  - 2302,Fri 14/07,50599000,59951000,11880000,9360000,1380000,291239,291296,57,,"Hearts Desire, Inverness CA 94937, US","124 Loomis St, San Francisco CA 94124, US",,0,0,0
2302  - 2302,Fri 14/07,60597000,64873000,660000,4260000,180000,291296,291325,29.2,,"124 Loomis St, San Francisco CA 94124, US","DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",,0,0,0
2302  - 2302,Mon 17/07,25365000,28617000,219720000,3240000,480000,291325,291349,23.5,,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US","342 Bahia Way, San Rafael CA 94901, US",,0,0,0
2302  - 2302,Mon 17/07,29335000,30373000,720000,1020000,60000,291349,291356,7.6,,"344 Bahia Way, San Rafael CA 94901, US","445B, Mill Valley CA 94941, US",,0,0,0
2302  - 2302,Mon 17/07,31266000,31500000,900000,240000,60000,291356,291357,0.9,,"445B, Mill Valley CA 94941, US","Drake Ave, Sausalito CA 94965, US",,0,0,0
2302  - 2302,Mon 17/07,32176000,33397000,660000,1200000,300000,291357,291365,7.2,,"Flemings Ct, Sausalito CA 94965, US","Glassburn St, Sausalito CA 94965, US",,0,0,0
2302  - 2302,Mon 17/07,56361000,58014000,22980000,1680000,480000,291365,291373,8.4,,"Glassburn St, Sausalito CA 94965, US","445B, Mill Valley CA 94941, US",,0,0,0
2302  - 2302,Mon 17/07,58642000,64099000,600000,5460000,1080000,291373,291403,29.9,,"445B, Mill Valley CA 94941, US","DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",,0,0,0
2302  - 2302,Tue 18/07,25666000,29964000,47940000,4320000,900000,291403,291433,30,,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US","California State Route 1, Mill Valley CA 94941, US",,0,0,0
2302  - 2302,Tue 18/07,31189000,32795000,1200000,1620000,600000,291433,291441,8.1,,"California State Route 1, Mill Valley CA 94941, US","Glassburn St, Sausalito CA 94965, US",,0,0,0
2302  - 2302,Tue 18/07,56203000,57815000,23400000,1620000,480000,291441,291449,8.4,,"Glassburn St, Sausalito CA 94965, US","445B, Mill Valley CA 94941, US",,0,0,0
2302  - 2302,Tue 18/07,58655000,63854000,840000,5220000,660000,291449,291479,29.9,,"California State Route 1, Mill Valley CA 94941, US","DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",,0,0,0
2302  - 2302,Wed 19/07,25441000,29943000,48000000,4500000,780000,291479,291509,29.9,,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US","California State Route 1, Mill Valley CA 94941, US",,0,0,0
2302  - 2302,Wed 19/07,31533000,34792000,1620000,3240000,720000,291509,291534,25,,"445B, Mill Valley CA 94941, US","N San Pedro Rd, San Rafael CA 94903, US",,0,0,0
2302  - 2302,Wed 19/07,38584000,39283000,3780000,720000,300000,291534,291536,2,,"N San Pedro Rd, San Rafael CA 94903, US","Las Gallinas Ave, San Rafael CA 94903, US",,0,0,0
2302  - 2302,Wed 19/07,49357000,50988000,10080000,1620000,120000,291536,291554,17.9,,"Las Gallinas Ave, San Rafael CA 94903, US","Glassburn St, Sausalito CA 94965, US",,0,0,0
2302  - 2302,Wed 19/07,56012000,57659000,5040000,1620000,600000,291554,291562,8.4,,"Glassburn St, Sausalito CA 94965, US","445B, Mill Valley CA 94941, US",,0,0,0
2302  - 2302,Wed 19/07,58284000,64444000,600000,6180000,1200000,291562,291592,29.9,,"445B, Mill Valley CA 94941, US","DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",,0,0,0
2302  - 2302,Thu 20/07,25688000,30584000,47640000,4920000,1800000,291592,291621,29.2,,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US","California State Route 1, Mill Valley CA 94941, US",,0,0,0
2302  - 2302,Thu 20/07,31524000,36065000,960000,4560000,660000,291621,291664,42.1,,"California State Route 1, Mill Valley CA 94941, US","DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",,0,0,0
2302  - 2302,Fri 21/07,24261000,28112000,74580000,3840000,1260000,291664,291686,21.9,,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US","125 Bahia Way, San Rafael CA 94901, US",,0,0,0
2302  - 2302,Fri 21/07,30039000,36027000,1920000,6000000,1680000,291686,291711,25.8,,"125 Bahia Way, San Rafael CA 94901, US","860 Redwood Highway Frontage Rd, Mill Valley CA 94941, US",,0,0,0
2302  - 2302,Fri 21/07,37416000,40245000,1380000,2820000,300000,291711,291736,25,,"860 Redwood Highway Frontage Rd, Mill Valley CA 94941, US","DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",,0,0,0
2302  - 2302,Wed 26/07,31693000,35668000,423420000,3960000,1740000,291736,291761,24.7,,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US","1264 McKay Ave, Alameda CA 94501, US",,0,0,0
2302  - 2302,Wed 26/07,36981000,39189000,1320000,2220000,600000,291761,291773,12.5,,"1264 McKay Ave, Alameda CA 94501, US","Campus Dr, Oakland CA 94619, US",,0,0,0
2302  - 2302,Wed 26/07,51294000,57307000,12120000,6000000,840000,291773,291811,37.6,,"Campus Dr, Oakland CA 94619, US","DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",,0,0,0
