Day,Start date,End date,Start time,End time,Duration,Location,Address No.,Vehicle,Latitude,Longitude,Odometer,Driver
Fri 1/14/22,1637399100000,1642194660000,3900000,47460000,4795560000,,,4001  - 4001,,,0,
Fri 1/14/22,1642196760000,1642197660000,49560000,50460000,900000,"567 32nd Ave, San Francisco CA 94121, US",,4001  - 4001,37778442,-122492214,16,
Tue 1/18/22,1642285800000,1642539780000,52200000,46980000,253980000,,,2802  - 2802,,,0,
Tue 1/18/22,1642539840000,1642541340000,47040000,48540000,1500000,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",001,2802  - 2802,38053635,-122240783,0,
Tue 1/18/22,1642201200000,1642544280000,54000000,51480000,343080000,"Utah Ave, South San Francisco CA 94080, US",,4001  - 4001,37646548,-122401613,35,
Tue 1/18/22,1642545000000,1642545660000,52200000,52860000,720000,"172 Loomis St, San Francisco CA 94124, US",,4001  - 4001,37740752,-122405413,42,
Tue 1/18/22,1642546500000,1642548540000,53700000,55740000,2040000,"3530 22nd St, San Francisco CA 94114, US",,4001  - 4001,37755002,-122426208,45,
Tue 1/18/22,1642543800000,1642549740000,51000000,56940000,5940000,"2846 Alemany Blvd, San Francisco CA 94112, US",,2802  - 2802,37712725,-122451316,32,
Tue 1/18/22,1642549980000,1642550280000,57180000,57480000,300000,"Morse, Morse Street 755, San Francisco 941124296, US",755,2802  - 2802,37710699,-122447198,33,
Wed 1/19/22,1642550400000,1642623000000,57600000,43800000,72600000,"Utah Ave, South San Francisco CA 94080, US",,4001  - 4001,37646586,-122401683,56,
Wed 1/19/22,1642290060000,1642623360000,56460000,44160000,333300000,,,2302  - 2302,,,0,
Wed 1/19/22,1642277340000,1642624680000,43740000,45480000,347340000,,,4402  - 4402,,,0,
Wed 1/19/22,1642625160000,1642626120000,45960000,46920000,960000,"Park Rd, Benicia CA 94510, US",,2302  - 2302,38079604,-122120781,17,
Wed 1/19/22,1642626840000,1642627560000,47640000,48360000,720000,"13826 E 14th St, San Leandro CA 94578, US",,4402  - 4402,37714749,-122141883,32,
Wed 1/19/22,1642624380000,1642627620000,45180000,48420000,3180000,"3532 22nd St, San Francisco CA 94114, US",,4001  - 4001,37755011,-122426284,66,
Wed 1/19/22,1642626420000,1642628220000,47220000,49020000,1800000,"360 W Channel Rd, Benicia CA 94510, US",,2302  - 2302,38084650,-122139755,19,
Wed 1/19/22,1637377680000,1642628340000,68880000,49140000,5250660000,,,3801  - 3801,,,0,
Wed 1/19/22,1642554660000,1642628640000,61860000,49440000,73980000,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",001,2802  - 2802,38053500,-122240522,66,
Wed 1/19/22,1642628580000,1642629240000,49380000,50040000,660000,"334 Parker Ave, Rodeo CA 94572, US",,3801  - 3801,38033864,-122267373,3,
Wed 1/19/22,1637380020000,1642631460000,71220000,52260000,5251440000,,,3602 - 3602,,,0,
