Day,Start date,End date,Start time,End time,Duration,Location,Address No.,Vehicle,Latitude,Longitude,Odometer,Driver
Fri 7/1/22,1656627300000,1656685080000,54900000,26280000,57780000,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",001,2802  - 2802,38053539,-122240667,9300,
Fri 7/1/22,1656636060000,1656686280000,63660000,27480000,50220000,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",001,3501  - 3501,38052987,-122240324,8839,
Fri 7/1/22,1656635100000,1656687720000,62700000,28920000,52620000,"155 Utah Ave, South San Francisco CA 94080, US",,3602 - 3602,37646255,-122401566,4552,
Fri 7/1/22,1656635580000,1656688380000,63180000,29580000,52800000,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",001,4402  - 4402,38053127,-122240170,8826,
Fri 7/1/22,1656687780000,1656688440000,28980000,29640000,660000,"512 Cayuga Ave, San Francisco CA 94112, US",,2802  - 2802,37729225,-122435393,9331,
Fri 7/1/22,1656622380000,1656688440000,49980000,29640000,66120000,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",001,3801  - 3801,38052989,-122240124,7826,
Fri 7/1/22,1656637140000,1656689040000,64740000,30240000,51960000,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",001,3601  - 3601,38053493,-122240557,8750,
Fri 7/1/22,1656688800000,1656689520000,30000000,30720000,720000,"1110 Alemany Blvd, San Francisco CA 94112, US",,3602 - 3602,37731072,-122429894,4560,
Fri 7/1/22,1656688620000,1656689760000,29820000,30960000,1140000,"1118 Alemany Blvd, San Francisco CA 94112, US",,2802  - 2802,37731059,-122430037,9331,
Fri 7/1/22,1656690060000,1656690480000,31260000,31680000,420000,"244 Foerster St, San Francisco CA 94112, US",,2802  - 2802,37730252,-122448839,9332,
Fri 7/1/22,1656189420000,1656690660000,49020000,31860000,501180000,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",001,2302  - 2302,38053455,-122240672,3296,
Fri 7/1/22,1656690480000,1656693600000,31680000,34800000,3120000,"449 Hearst Ave, San Francisco CA 94112, US",,2802  - 2802,37730674,-122447714,9332,
Fri 7/1/22,1656689040000,1656693600000,30240000,34800000,4620000,"437 Hearst Ave, San Francisco CA 94112, US",,3501  - 3501,37730652,-122447444,8871,
Fri 7/1/22,1656690240000,1656694980000,31440000,36180000,4740000,"3527 22nd St, San Francisco CA 94114, US",,3602 - 3602,37754974,-122426143,4563,
Fri 7/1/22,1656693240000,1656694980000,34440000,36180000,1740000,"3522 22nd St, San Francisco CA 94114, US",,2302  - 2302,37755022,-122426036,3325,
Fri 7/1/22,1656691140000,1656695040000,32340000,36240000,3900000,"636 Douglass St, San Francisco CA 94114, US",,4402  - 4402,37753628,-122438753,8826,
Fri 7/1/22,1656691740000,1656695040000,32940000,36240000,3300000,"637 Douglass St, San Francisco CA 94114, US",,3601  - 3601,37753641,-122438717,8781,
Fri 7/1/22,1656691260000,1656695040000,32460000,36240000,3840000,"638 Douglass St, San Francisco CA 94114, US",,3801  - 3801,37753612,-122438757,7855,
Fri 7/1/22,1656697620000,1656698040000,38820000,39240000,420000,"189 Montgomery St, San Francisco CA 94129, US",,3602 - 3602,37798824,-122460222,4571,
Fri 7/1/22,1656698040000,1656698460000,39240000,39660000,480000,"Cull Canyon Rd, Castro Valley CA 94552, US",,3601  - 3601,37710739,-122055497,8811,
Fri 7/1/22,1656698040000,1656698460000,39240000,39660000,480000,"Cull Canyon Rd, Castro Valley CA 94552, US",,3801  - 3801,37710080,-122055228,7885,
Fri 7/1/22,1656698160000,1656698700000,39360000,39900000,540000,"Anza St, San Francisco CA 94129, US",,3602 - 3602,37801385,-122457215,4571,
Fri 7/1/22,1656697980000,1656699060000,39180000,40260000,1080000,"Cull Canyon Rd, Castro Valley CA 94552, US",,4402  - 4402,37710545,-122055438,8829,
Fri 7/1/22,1656644940000,1656700260000,72540000,41460000,55320000,"Aladdin Ave, San Leandro CA 94577, US",,4001  - 4001,37706732,-122157095,3687,
Fri 7/1/22,1656696480000,1656700440000,37680000,41640000,3960000,"497 Humboldt Ave, Sausalito CA 94965, US",,2802  - 2802,37857352,-122479949,9346,
Fri 7/1/22,1656700980000,1656701640000,42180000,42840000,600000,"Walkway Rd, Sausalito CA 94965, US",,2802  - 2802,37835527,-122477172,9349,
Fri 7/1/22,1656699240000,1656703740000,40440000,44940000,4500000,"3719 Geary Blvd, San Francisco CA 94118, US",,3602 - 3602,37781147,-122459104,4573,
Fri 7/1/22,1656695760000,1656706560000,36960000,47760000,10860000,"Sommerville Rd, Sausalito CA 94965, US",,3501  - 3501,37834266,-122475940,8881,
Fri 7/1/22,1656701760000,1656706620000,42960000,47820000,4860000,"Sommerville Rd, Sausalito CA 94965, US",,2802  - 2802,37834254,-122476004,9349,
Fri 7/1/22,1656706680000,1656707700000,47880000,48900000,1020000,"New Breitung Rd, Sausalito CA 94965, US",,3501  - 3501,37835365,-122477414,8882,
Fri 7/1/22,1656706680000,1656707700000,47880000,48900000,1020000,"657 Center Rd, Sausalito CA 94965, US",,2802  - 2802,37835471,-122477349,9349,
Fri 7/1/22,1656700260000,1656708180000,41460000,49380000,7920000,"22119 Arbor Ave, Hayward CA 94541, US",,4402  - 4402,37666768,-122107005,8838,
Fri 7/1/22,1656698520000,1656709320000,39720000,50520000,10800000,"18785 Cull Canyon Rd, Castro Valley CA 94552, US",,3801  - 3801,37710464,-122054979,7886,
Fri 7/1/22,1656698520000,1656709380000,39720000,50580000,10800000,"18791 Cull Canyon Rd, Castro Valley CA 94552, US",,3601  - 3601,37710375,-122054951,8811,
Fri 7/1/22,1656697020000,1656709440000,38220000,50640000,12360000,"653 Crissy Field Ave, San Francisco CA 94129, US",,2302  - 2302,37803629,-122467875,3331,
Fri 7/1/22,1656704580000,1656709440000,45780000,50640000,4860000,"Crissy Field Ave, San Francisco CA 94129, US",,3602 - 3602,37803766,-122467992,4576,
Fri 7/1/22,1656709380000,1656709860000,50580000,51060000,540000,"Cull Canyon Rd, Castro Valley CA 94552, US",,3801  - 3801,37710054,-122055266,7886,
Fri 7/1/22,1656709380000,1656709860000,50580000,51060000,480000,"Cull Canyon Rd, Castro Valley CA 94552, US",,4402  - 4402,37710134,-122055250,8845,
Fri 7/1/22,1656709440000,1656709860000,50640000,51060000,480000,"Cull Canyon Rd, Castro Valley CA 94552, US",,3601  - 3601,37710260,-122055371,8811,
Fri 7/1/22,1656709500000,1656710100000,50700000,51300000,600000,"926 Mason St, San Francisco CA 94129, US",,3602 - 3602,37804758,-122468664,4576,
Fri 7/1/22,1656709500000,1656710160000,50700000,51360000,660000,"926 Mason St, San Francisco CA 94129, US",,2302  - 2302,37804806,-122468541,3331,
Fri 7/1/22,1656712740000,1656713160000,53940000,54360000,360000,"4181 22nd St, San Francisco CA 94114, US",,3601  - 3601,37754215,-122438571,8842,
Fri 7/1/22,1656714660000,1656715380000,55860000,56580000,660000,"24, Hercules CA 94547, US",,3501  - 3501,38021717,-122262244,8921,
Fri 7/1/22,1656716880000,1656717720000,58080000,58920000,780000,"407 Parker Ave, Rodeo CA 94572, US",,2302  - 2302,38032748,-122266814,3364,
Fri 7/1/22,1656716940000,1656717720000,58140000,58920000,840000,"401 Parker Ave, Rodeo CA 94572, US",,3602 - 3602,38032786,-122266702,4609,
Sat 7/2/22,1656718020000,1656785640000,59220000,40440000,67620000,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",001,2302  - 2302,38053383,-122240883,3367,
Tue 7/5/22,1656715740000,1657028340000,56940000,23940000,312600000,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",001,3501  - 3501,38053000,-122240372,8924,
Tue 7/5/22,1657028400000,1657029120000,24000000,24720000,720000,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",001,3501  - 3501,38053278,-122240249,8924,
Tue 7/5/22,1656718080000,1657029120000,59280000,24720000,311040000,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",001,3601  - 3601,38053520,-122240619,8871,
Tue 7/5/22,1657029360000,1657029960000,24960000,25560000,600000,"386 Parker Ave, Rodeo CA 94572, US",,3501  - 3501,38033048,-122267171,8927,
Tue 7/5/22,1657029360000,1657029960000,24960000,25560000,600000,"372 Parker Ave, Rodeo CA 94572, US",,3601  - 3601,38033188,-122267149,8873,
Tue 7/5/22,1657033020000,1657035840000,28620000,31440000,2820000,"Geneva Ave, San Francisco CA 94134, US",,3601  - 3601,37707936,-122422290,8904,
Tue 7/5/22,1657035900000,1657037040000,31500000,32640000,1140000,"Carter St, Daly City CA 94014, US",,3601  - 3601,37707574,-122422404,8904,
Tue 7/5/22,1657033020000,1657037100000,28620000,32700000,4080000,"Geneva Ave, San Francisco CA 94134, US",,3501  - 3501,37707933,-122422186,8958,
Tue 7/5/22,1656620340000,1657042620000,47940000,38220000,422220000,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",001,2503  - 2503,38053134,-122240293,4475,
Tue 7/5/22,1657044600000,1657045320000,40200000,40920000,720000,"Santana Dr, Cloverdale CA 95425, US",,3501  - 3501,38783821,-123011831,9053,
Tue 7/5/22,1657045620000,1657046100000,41220000,41700000,480000,"308 S Foothill Blvd, Cloverdale CA 95425, US",,3501  - 3501,38798753,-123024867,9055,
Tue 7/5/22,1657044000000,1657046100000,39600000,41700000,2100000,"310 S Foothill Blvd, Cloverdale CA 95425, US",,3601  - 3601,38798590,-123024820,8997,
Tue 7/5/22,1657050720000,1657051080000,46320000,46680000,420000,"23142 Highway 20, Willits CA 95490, US",,3501  - 3501,39385770,-123471190,9115,
Tue 7/5/22,1657050720000,1657051080000,46320000,46680000,360000,"23138 Highway 20, Willits CA 95490, US",,3601  - 3601,39385866,-123470969,9057,
Tue 7/5/22,1657053120000,1657053600000,48720000,49200000,480000,"W Chamberlain Rd, Comptche CA 95427, US",,3501  - 3501,39400017,-123576539,9126,
Tue 7/5/22,1657053120000,1657053600000,48720000,49200000,480000,"W Chamberlain Rd, Fort Bragg CA 95427, US",,3601  - 3601,39399678,-123577222,9069,
Tue 7/5/22,1656701280000,1657053900000,42480000,49500000,352620000,"Teagarden St, San Leandro CA 94577, US",,4001  - 4001,37706613,-122157277,3696,
Tue 7/5/22,1657054380000,1657056720000,49980000,52320000,2340000,"Fort Bragg CA 95437, US",,3501  - 3501,39425914,-123574058,9129,
Tue 7/5/22,1657054380000,1657056720000,49980000,52320000,2340000,"Fort Bragg CA 95437, US",,3601  - 3601,39425928,-123574196,9072,
Tue 7/5/22,1656711240000,1657058160000,52440000,53760000,346920000,"155 Utah Ave, South San Francisco CA 94080, US",,2802  - 2802,37646193,-122401718,9369,
Tue 7/5/22,1657058280000,1657059120000,53880000,54720000,840000,"Harbor Way, South San Francisco CA 94080, US",,2802  - 2802,37653464,-122400590,9370,
Tue 7/5/22,1657059180000,1657059600000,54780000,55200000,420000,"23566 Highway 20, Willits CA 95490, US",,3501  - 3501,39374360,-123495240,9142,
Tue 7/5/22,1657059180000,1657059600000,54780000,55200000,420000,"23571 Highway 20, Willits CA 95490, US",,3601  - 3601,39374113,-123495161,9084,
Tue 7/5/22,1657064400000,1657066380000,60000000,61980000,1980000,"308 S Foothill Blvd, Cloverdale CA 95425, US",,3601  - 3601,38798721,-123024856,9146,
Tue 7/5/22,1657064400000,1657066380000,60000000,61980000,1980000,"308 S Foothill Blvd, Cloverdale CA 95425, US",,3501  - 3501,38798864,-123024891,9203,
Tue 7/5/22,1657073160000,1657073760000,68760000,69360000,600000,"Geneva Ave, San Francisco CA 94134, US",,3501  - 3501,37707656,-122421585,9296,
Tue 7/5/22,1657073160000,1657073760000,68760000,69360000,600000,"Geneva Ave, San Francisco CA 94134, US",,3601  - 3601,37707318,-122421732,9239,
Wed 7/6/22,1657076160000,1657117380000,71760000,26580000,41160000,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",001,3501  - 3501,38053089,-122240338,9329,
Wed 7/6/22,1657117740000,1657118460000,26940000,27660000,720000,"407 Parker Ave, Rodeo CA 94572, US",,3501  - 3501,38032676,-122266863,9332,
Wed 7/6/22,1656717780000,1657118820000,58980000,28020000,401040000,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",001,4402  - 4402,38053164,-122240274,8846,
Wed 7/6/22,1657063440000,1657119840000,59040000,29040000,56340000,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",001,2802  - 2802,38053542,-122240595,9406,
