Vehicle,Day,Start time,End time,Downtime,Duration,Standstill,Start odometer,End odometer,Distance,Driver,Start location,End location,Fuel consumption,Average fuel consumption,+/- Reference (absolute),+/- Reference (relative)
2302  - 2302,Fri 7/1/22,31112000,35157000,500280000,4020000,1620000,3296,3325,28.9,,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US","926 Dolores St, San Francisco CA 94110, US",,0,0,0
2302  - 2302,Fri 7/1/22,36066000,38227000,900000,2160000,540000,3325,3331,6.4,,"928 Dolores St, San Francisco CA 94110, US","653 Crissy Field Ave, San Francisco CA 94129, US",,0,0,0
2302  - 2302,Fri 7/1/22,50587000,58105000,12360000,7500000,1680000,3331,3364,32.9,,"654 Crissy Field Ave, San Francisco CA 94129, US","407 Parker Ave, Rodeo CA 94572, US",,0,0,0
2302  - 2302,Fri 7/1/22,58849000,59730000,720000,900000,540000,3364,3366,2.6,,"405 Parker Ave, Rodeo CA 94572, US","DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",,0,0,0
2302  - 2302,Sat 7/2/22,40194000,43106000,66840000,2940000,480000,3366,3394,27.1,,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US","DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",,0,0,0
2302  - 2302,Fri 7/15/22,48239000,62446000,1128360000,14220000,3660000,3394,3464,70.7,,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US","DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",,0,0,0
2302  - 2302,Tue 7/19/22,42169000,44823000,325320000,2640000,120000,3464,3499,34.6,,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US","939 Linden Ave, South San Francisco CA 94080, US",,0,0,0
2302  - 2302,Tue 7/19/22,45867000,46310000,1020000,420000,120000,3499,3500,0.9,,"939 Linden Ave, South San Francisco CA 94080, US","236 6th Ln, South San Francisco CA 94080, US",,0,0,0
2302  - 2302,Tue 7/19/22,46940000,47163000,660000,240000,120000,3500,3500,0.4,,"236 6th Ln, South San Francisco CA 94080, US","939 Linden Ave, South San Francisco CA 94080, US",,0,0,0
2302  - 2302,Tue 7/19/22,47888000,49296000,720000,1380000,780000,3500,3503,2.7,,"939 Linden Ave, South San Francisco CA 94080, US","S Airport Blvd, South San Francisco CA 94080, US",,0,0,0
2302  - 2302,Tue 7/19/22,51068000,55624000,1800000,4560000,540000,3503,3540,36.6,,"S Airport Blvd, South San Francisco CA 94080, US","DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",,0,0,0
2302  - 2302,Fri 7/22/22,27259000,37464000,230820000,10200000,7080000,3540,3569,29,,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US","1249 McKay Ave, Alameda CA 94501, US",,0,0,0
2302  - 2302,Fri 7/22/22,52313000,59581000,14820000,7260000,2640000,3569,3599,30.4,,"1251 McKay Ave, Alameda CA 94501, US","DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",,0,0,0
2503  - 2503,Tue 7/5/22,38181000,39323000,422100000,1140000,60000,4475,4487,12.2,,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US","356 W Channel Rd, Benicia CA 94510, US",,0,0,0
2503  - 2503,Thu 7/7/22,57477000,58704000,190980000,1200000,60000,4487,4500,12.3,,"377 W Channel Rd, Benicia CA 94510, US","DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",,0,0,0
2503  - 2503,Tue 7/12/22,23287000,25676000,396600000,2400000,660000,4500,4515,15.3,,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US","808 Camelia St, Berkeley CA 94710, US",,0,0,0
2503  - 2503,Tue 7/12/22,33878000,36467000,8220000,2580000,780000,4515,4531,15.8,,"811 Camelia St, Berkeley CA 94710, US","4173 22nd St, San Francisco CA 94114, US",,0,0,0
2503  - 2503,Tue 7/12/22,37932000,37932000,1440000,0,,4531,4531,0.9,,odometer corrected,odometer corrected,,0,0,0
2503  - 2503,Tue 7/12/22,37932000,41018000,0,3060000,660000,4531,4554,22.5,,"2627 Market St, San Francisco CA 94114, US","Eastshore Hwy, Berkeley CA 94710, US",,0,0,0
