Day,Start date,End date,Start time,End time,Duration,Location,Address No.,Vehicle,Latitude,Longitude,Odometer
Mon 01/04,1711848600000,1711984020000,66600000,29220000,135420000,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",001,2802 - 2802,38053061,-122240181,100940
Mon 01/04,1711759860000,1711985760000,64260000,30960000,225900000,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",001,2503  - 2503,38052852,-122240154,22122
Mon 01/04,1711739700000,1711986480000,44100000,31680000,246780000,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",001,2302  - 2302,38053136,-122240226,301655
Mon 01/04,1711986060000,1711987980000,31260000,33180000,1920000,"Five Keys Independence HS (SF Sheriff's), 70 Oak Grove Street, San Francisco 94107-1019, US",868,2802 - 2802,37778584,-122402625,100967
Mon 01/04,1711988160000,1711990440000,33360000,35640000,2280000,"Five Keys Independence HS (SF Sheriff's), 70 Oak Grove Street, San Francisco 94107-1019, US",868,2802 - 2802,37779096,-122402823,100967
Mon 01/04,1711988580000,1711990440000,33780000,35640000,1860000,"Carmichael (Bessie)/Middle School, 824 Harrison Street, San Francisco 94103, US",2018,2302  - 2302,37778906,-122403135,301682
Mon 01/04,1711987620000,1711994820000,32820000,40020000,7140000,"5073 Park Rd, Benicia CA 94510, US",,2503  - 2503,38079941,-122120449,22139
Mon 01/04,1711754940000,1711996980000,59340000,42180000,242040000,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",001,3501  - 3501,38052937,-122240148,159252
Mon 01/04,1711996920000,1711999920000,42120000,45120000,3000000,"Glenn Coolidge Dr, Santa Cruz CA 95064, US",,2802 - 2802,36978202,-122054358,101048
Mon 01/04,1712000160000,1712000940000,45360000,46140000,780000,"Upper Quarry, Santa Cruz CA 95064, US",,2802 - 2802,36997465,-122055559,101050
Mon 01/04,1712001180000,1712004540000,46380000,49740000,3360000,"Glenn Coolidge Dr, Santa Cruz CA 95064, US",,2802 - 2802,36978290,-122054344,101051
Mon 01/04,1711996980000,1712004540000,42180000,49740000,7560000,"Glenn Coolidge Dr, Santa Cruz CA 95064, US",,2302  - 2302,36978252,-122054363,301763
Mon 01/04,1712004840000,1712007840000,50040000,53040000,2940000,"Cowell Stevenson Rd, Santa Cruz CA 95064, US",,2302  - 2302,36997813,-122053469,301765
Mon 01/04,1712004840000,1712007840000,50040000,53040000,3000000,"Cowell Stevenson Rd, Santa Cruz CA 95064, US",,2802 - 2802,36997717,-122053566,101053
Mon 01/04,1712009160000,1712022180000,54360000,67380000,13080000,"3rd St, Santa Cruz CA 95060, US",,2802 - 2802,36967185,-122015694,101058
Mon 01/04,1712009160000,1712022180000,54360000,67380000,13080000,"3rd St, Santa Cruz CA 95060, US",,2302  - 2302,36967236,-122015713,301770
Mon 01/04,1712029020000,1712029620000,74220000,74820000,540000,"159 Utah Ave, South San Francisco CA 94080, US",,2802 - 2802,37646307,-122401393,101147
Tue 02/04,1711997760000,1712067480000,42960000,26280000,69660000,"734 San Pablo Ave, Pinole CA 94564, US",,3501  - 3501,38005071,-122310825,159260
Tue 02/04,1712032020000,1712067780000,77220000,26580000,35760000,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",001,2802 - 2802,38052989,-122240199,101183
Tue 02/04,1711763460000,1712068860000,67860000,27660000,305460000,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",001,5601 - 5601,38053087,-122240138,283294
Tue 02/04,1712069040000,1712070000000,27840000,28800000,1020000,"8081 Cummings Skwy, Crockett CA 94525, US",,5601 - 5601,38046985,-122240978,283294
Tue 02/04,1712069220000,1712070300000,28020000,29100000,1080000,"Castro St, Richmond CA 94801, US",,2802 - 2802,37928958,-122386921,101197
Tue 02/04,1712068440000,1712070300000,27240000,29100000,1860000,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",001,3501  - 3501,38052955,-122240240,159268
Tue 02/04,1711996020000,1712071380000,41220000,30180000,75360000,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",001,2503  - 2503,38053136,-122240150,22151
Tue 02/04,1712071980000,1712072460000,30780000,31260000,480000,"227 Woodland Ave, San Rafael CA 94901, US",,2802 - 2802,37963920,-122525618,101206
Tue 02/04,1711907820000,1712072700000,39420000,31500000,164880000,"159 Utah Ave, South San Francisco CA 94080, US",,4001  - 4001,37646276,-122401309,149289
Tue 02/04,1712072880000,1712073480000,31680000,32280000,600000,"Gateway Blvd, South San Francisco CA 94080, US",,4001  - 4001,37651973,-122401832,149289
Tue 02/04,1712074080000,1712075580000,32880000,34380000,1500000,"Field Rd, Sausalito CA 94965, US",,2802 - 2802,37830749,-122525016,101220
Tue 02/04,1712074140000,1712076420000,32940000,35220000,2220000,"Harte (Bret) Elementary, 1035 Gilman Avenue, San Francisco 94124-3710, US",899,4001  - 4001,37718896,-122389276,149296
Tue 02/04,1712074200000,1712076480000,33000000,35280000,2280000,"SBE - OnePurpose, 948 Hollister Avenue, San Francisco 94124-3724, US",984,3501  - 3501,37718851,-122389373,159300
Tue 02/04,1712081820000,1712082720000,40620000,41520000,960000,"Bean Creek Rd, Scotts Valley CA 95066, US",,3501  - 3501,37080509,-122009831,159367
Tue 02/04,1711911360000,1712084100000,42960000,42900000,172740000,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",001,4403 - 4403,38053013,-122240163,114285
Tue 02/04,1712075760000,1712085600000,34560000,44400000,9840000,"Field Rd, Sausalito CA 94965, US",,2802 - 2802,37825395,-122530618,101221
Tue 02/04,1712085960000,1712089440000,44760000,48240000,3480000,"Coastal Trl, Sausalito CA 94965, US",,2802 - 2802,37832430,-122539207,101222
Tue 02/04,1711751760000,1712091360000,56160000,50160000,339600000,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",001,4402  - 4402,38053099,-122240193,148780
Tue 02/04,1712091060000,1712091540000,49860000,50340000,480000,"228 Woodland Ave, San Rafael CA 94901, US",,2802 - 2802,37963947,-122525624,101238
Tue 02/04,1712090340000,1712092800000,49140000,51600000,2460000,"Chelsea, Hercules CA 94547, US",,3501  - 3501,38020343,-122261827,159454
Tue 02/04,1712092500000,1712093040000,51300000,51840000,480000,"W Cutting Blvd, Richmond CA 94804, US",,2802 - 2802,37925732,-122378805,101247
Tue 02/04,1712093220000,1712093700000,52020000,52500000,540000,"312 9th St, San Francisco CA 94103, US",,4402  - 4402,37773648,-122411496,148806
Tue 02/04,1712094300000,1712096040000,53100000,54840000,1680000,"KIPP San Francisco Bay Academy, 1430 Scott Street, San Francisco 94115-3510, US",851,4402  - 4402,37784283,-122434995,148808
Tue 02/04,1712097000000,1712103300000,55800000,62100000,6360000,"144 Bowling Green Dr, San Francisco CA 94122, US",,4402  - 4402,37769937,-122460321,148811
Tue 02/04,1712108640000,1712109000000,67440000,67800000,360000,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",001,4402  - 4402,38053796,-122241028,148853
Tue 02/04,1712093220000,1712119440000,52020000,78240000,26220000,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",001,3501  - 3501,38052887,-122240114,159457
Wed 03/04,1711743180000,1712154060000,47580000,26460000,410880000,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",001,3601  - 3601,38053117,-122240239,72909
Wed 03/04,1712119500000,1712155500000,78300000,27900000,36000000,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",001,3501  - 3501,38052952,-122240331,159457
Wed 03/04,1712091060000,1712155500000,49860000,27900000,64440000,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",001,4403 - 4403,38052933,-122240121,114364
Wed 03/04,1712156700000,1712158380000,29100000,30780000,1740000,"2744 Buena Vista Ave, Alameda CA 94501, US",,3601  - 3601,37765088,-122234405,72935
Wed 03/04,1712070180000,1712158860000,28980000,31260000,88680000,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",001,5601 - 5601,38053802,-122241018,283295
Wed 03/04,1712159040000,1712159520000,31440000,31920000,480000,"San Francisco Public Montessori, 2340 Jackson Street, San Francisco 94115-1323, US",872,4403 - 4403,37793162,-122432950,114392
Wed 03/04,1712159580000,1712161380000,31980000,33780000,1800000,"San Francisco Public Montessori, 2340 Jackson Street, San Francisco 94115-1323, US",872,4403 - 4403,37792666,-122433628,114393
Wed 03/04,1712159280000,1712161440000,31680000,33840000,2160000,"San Francisco Public Montessori, 2340 Jackson Street, San Francisco 94115-1323, US",872,3501  - 3501,37792653,-122433924,159486
Wed 03/04,1712162280000,1712162640000,34680000,35040000,420000,"San Francisco Unified, 555 Franklin Street, San Francisco 94102, US",849,3501  - 3501,37778052,-122420833,159487
Wed 03/04,1712162340000,1712162760000,34740000,35160000,420000,"San Francisco Unified, 555 Franklin Street, San Francisco 94102, US",849,4403 - 4403,37777882,-122421497,114394
Wed 03/04,1712077500000,1712163840000,36300000,36240000,86340000,"Utah Ave, South San Francisco CA 94080, US",,4001  - 4001,37646607,-122401655,149303
Wed 03/04,1712162100000,1712165340000,34500000,37740000,3300000,"Washington (George) High, 600 32nd Avenue, San Francisco 94121-2733, US",894,5601 - 5601,37777700,-122490002,283333
Wed 03/04,1712164260000,1712165400000,36660000,37800000,1140000,"Washington (George) High, 600 32nd Avenue, San Francisco 94121-2733, US",894,4403 - 4403,37777873,-122490051,114402
Wed 03/04,1712162760000,1712167260000,35160000,39660000,4500000,"611 Golden Gate Ave, San Francisco CA 94102, US",,3501  - 3501,37781048,-122419926,159487
Wed 03/04,1712165640000,1712168400000,38040000,40800000,2700000,"San Francisco Flex Academy, 1350 7th Avenue, San Francisco 94122-2508, US",981,4001  - 4001,37764149,-122462952,149315
Wed 03/04,1712167800000,1712168580000,40200000,40980000,780000,"212 Van Ness Ave, San Francisco CA 94102, US",,3501  - 3501,37777547,-122419620,159488
Wed 03/04,1712168580000,1712169060000,40980000,41460000,540000,"Muir (John) Elementary, 380 Webster Street, San Francisco 94117-3512, US",924,5601 - 5601,37773921,-122429150,283349
Wed 03/04,1712169180000,1712170260000,41580000,42660000,1080000,"Muir (John) Elementary, 380 Webster Street, San Francisco 94117-3512, US",924,5601 - 5601,37773340,-122428524,283350
Wed 03/04,1712170980000,1712171340000,43380000,43740000,300000,"298 West Point Ave, Half Moon Bay CA 94019, US",,4001  - 4001,37502280,-122496840,149337
Wed 03/04,1712171640000,1712172480000,44040000,44880000,840000,"1461 Central Magazine Rd, San Francisco CA 94129, US",,5601 - 5601,37797343,-122475999,283354
Wed 03/04,1712162160000,1712173020000,34560000,45420000,10860000,"52 Muir Woods Rd, Mill Valley CA 94941, US",,3601  - 3601,37892140,-122571565,72971
Wed 03/04,1712109000000,1712173380000,67800000,45780000,64320000,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",001,4402  - 4402,38052974,-122240124,148853
Wed 03/04,1712171520000,1712176800000,43920000,49200000,5280000,"173 Mendell St, San Francisco CA 94124, US",,4403 - 4403,37743014,-122383636,114426
Wed 03/04,1712176980000,1712177400000,49380000,49800000,420000,"2760 Buena Vista Ave, Alameda CA 94501, US",,3601  - 3601,37765003,-122234258,73011
Wed 03/04,1712175060000,1712177760000,47460000,50160000,2700000,"210 Mendell St, San Francisco CA 94124, US",,5601 - 5601,37742864,-122383863,283363
Wed 03/04,1712175720000,1712178240000,48120000,50640000,2520000,"Taylor (Edward R.) Elementary, 423 Burrows Street, San Francisco 94134-1449, US",908,4402  - 4402,37728672,-122409853,148883
Wed 03/04,1712179020000,1712179440000,51420000,51840000,360000,"San Francisco Unified, 555 Franklin Street, San Francisco 94102, US",849,5601 - 5601,37779013,-122422216,283368
Wed 03/04,1712179080000,1712179500000,51480000,51900000,420000,"1382 Hudson Ave, San Francisco CA 94124, US",,4402  - 4402,37737819,-122384330,148885
Wed 03/04,1712178780000,1712180580000,51180000,52980000,1800000,"184 Newhall St, San Francisco CA 94124, US",,4403 - 4403,37742424,-122383655,114432
Wed 03/04,1712171640000,1712180760000,44040000,53160000,9120000,"191 West Point Ave, Half Moon Bay CA 94019, US",,4001  - 4001,37503102,-122494316,149337
Wed 03/04,1712180640000,1712181060000,53040000,53460000,480000,"1550 Evans Ave, San Francisco CA 94124, US",,4403 - 4403,37742167,-122386652,114432
Wed 03/04,1712180400000,1712181060000,52800000,53460000,720000,"1550 Evans Ave, San Francisco CA 94124, US",,5601 - 5601,37742104,-122386567,283372
Wed 03/04,1712181300000,1712188440000,53700000,60840000,7140000,"137 Bowling Green Dr, San Francisco CA 94122, US",,4402  - 4402,37770010,-122460331,148892
Thu 04/04,1712188560000,1712236500000,60960000,22500000,47880000,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",001,5601 - 5601,38053191,-122240263,283423
Thu 04/04,1712173260000,1712237820000,45660000,23820000,64560000,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",001,3501  - 3501,38052948,-122240336,159520
Thu 04/04,1712179560000,1712241420000,51960000,27420000,61860000,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",001,3601  - 3601,38053104,-122240299,73037
Thu 04/04,1712188500000,1712241840000,60900000,27840000,53340000,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",001,4403 - 4403,38053370,-122240258,114483
Thu 04/04,1712238900000,1712242200000,24900000,28200000,3300000,"2740 Buena Vista Ave, Alameda CA 94501, US",,5601 - 5601,37765129,-122234422,283449
Thu 04/04,1712241240000,1712244540000,27240000,30540000,3300000,"492 Point San Pedro Rd, San Rafael CA 94901, US",,3501  - 3501,37974778,-122489297,159547
Thu 04/04,1712029080000,1712244600000,74280000,30600000,215460000,"157 Utah Ave, South San Francisco CA 94080, US",,2302  - 2302,37646507,-122401615,301859
Thu 04/04,1712185440000,1712244660000,57840000,30660000,59220000,"Utah Ave, South San Francisco CA 94080, US",,4001  - 4001,37646615,-122401642,149371
Thu 04/04,1712244600000,1712245020000,30600000,31020000,360000,"125 Utah Ave, South San Francisco CA 94080, US",,2302  - 2302,37645763,-122403299,301859
Thu 04/04,1712245560000,1712246160000,31560000,32160000,540000,"Bayshore Blvd, Brisbane CA 94005, US",,2302  - 2302,37704399,-122407107,301864
Thu 04/04,1712246520000,1712246880000,32520000,32880000,360000,"1454 Sunnydale Ave, San Francisco CA 94134, US",,2302  - 2302,37711824,-122415604,301865
Thu 04/04,1712245680000,1712246880000,31680000,32880000,1260000,"Spring Valley Elementary, 1451 Jackson Street, San Francisco 94109-3115, US",944,3601  - 3601,37794500,-122419274,73065
Thu 04/04,1712246640000,1712247480000,32640000,33480000,780000,"Feinstein (Dianne) Elementary, 2550 25th Avenue, San Francisco 94116-2901, US",855,4403 - 4403,37739151,-122481458,114525
Thu 04/04,1712248020000,1712248800000,34020000,34800000,720000,"1363 10th St, Sacramento CA 95814, US",,5601 - 5601,38576077,-121495288,283536
Thu 04/04,1712246820000,1712248800000,32820000,34800000,1980000,"Sanchez Elementary, 325 Sanchez Street, San Francisco 94114-1615, US",940,4001  - 4001,37763751,-122431007,149381
Thu 04/04,1712247000000,1712250180000,33000000,36180000,3180000,"Visitacion Valley Middle, 450 Raymond Avenue, San Francisco 94134-2354, US",957,2302  - 2302,37716150,-122414099,301865
Thu 04/04,1712250780000,1712251140000,36780000,37140000,360000,"4862 Shoreline Hwy, Stinson Beach CA 94970, US",,3601  - 3601,37929997,-122682688,73090
Thu 04/04,1712250180000,1712252340000,36180000,38340000,2160000,"Chavez (Cesar) Elementary, 825 Shotwell Street, San Francisco 94110-3212, US",920,4403 - 4403,37753785,-122416550,114533
Thu 04/04,1712249760000,1712253900000,35760000,39900000,4140000,"1513 10th St, Sacramento CA 95814, US",,5601 - 5601,38574340,-121496029,283538
Thu 04/04,1712250600000,1712257080000,36600000,43080000,6480000,"Schofield Rd, San Francisco CA 94129, US",,4001  - 4001,37801422,-122471337,149388
Thu 04/04,1712257740000,1712261220000,43740000,47220000,3480000,"603 Mason St, San Francisco CA 94129, US",,4001  - 4001,37803934,-122456220,149391
Thu 04/04,1712253180000,1712261580000,39180000,47580000,8460000,"Lundeen St, San Francisco CA 94129, US",,2302  - 2302,37804205,-122451944,301878
Thu 04/04,1712247180000,1712261880000,33180000,47880000,14640000,"56 Muir Woods Rd, Mill Valley CA 94941, US",,3501  - 3501,37892244,-122571568,159563
Thu 04/04,1712196120000,1712262300000,68520000,48300000,66180000,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",001,4402  - 4402,38053054,-122240201,148933
Thu 04/04,1712261760000,1712263620000,47760000,49620000,1860000,"603 Mason St, San Francisco CA 94129, US",,2302  - 2302,37803922,-122456147,301878
Thu 04/04,1712264100000,1712264460000,50100000,50460000,360000,"490 Point San Pedro Rd, San Rafael CA 94901, US",,3501  - 3501,37974570,-122489536,159577
Thu 04/04,1712264580000,1712265660000,50580000,51660000,1080000,"Gateway Blvd, South San Francisco CA 94080, US",,4001  - 4001,37651958,-122401804,149406
Thu 04/04,1712254560000,1712266260000,40560000,52260000,11700000,"519B, Sacramento CA 95814, US",,5601 - 5601,38585406,-121503331,283540
Thu 04/04,1712251200000,1712267400000,37200000,53400000,16200000,"4989 Shoreline Hwy, Stinson Beach CA 94970, US",,3601  - 3601,37930891,-122688728,73091
Thu 04/04,1712265720000,1712267820000,51720000,53820000,2160000,"1264 Leavenworth St, San Francisco CA 94109, US",,4402  - 4402,37792693,-122416049,148961
Thu 04/04,1712267520000,1712268660000,53520000,54660000,1200000,"4869 Shoreline Hwy, Stinson Beach CA 94970, US",,3601  - 3601,37930037,-122682981,73091
Thu 04/04,1712268000000,1712269620000,54000000,55620000,1620000,"Lau (Gordon J.) Elementary, 950 Clay Street, San Francisco 94108-1521, US",904,4402  - 4402,37792412,-122410915,148962
Thu 04/04,1712094780000,1712271660000,53580000,57660000,176880000,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",001,2802 - 2802,38052940,-122240125,101263
Thu 04/04,1712271900000,1712272500000,57900000,58500000,660000,"2734 Buena Vista Ave, Alameda CA 94501, US",,5601 - 5601,37765171,-122234455,283625
Thu 04/04,1712272980000,1712273280000,58980000,59280000,300000,"Spring Valley Elementary, 1451 Jackson Street, San Francisco 94109-3115, US",944,3601  - 3601,37794477,-122418728,73117
Thu 04/04,1712273580000,1712274180000,59580000,60180000,600000,"Galileo High, 1150 Francisco Street, San Francisco 94109-1004, US",889,3601  - 3601,37802680,-122424635,73117
Thu 04/04,1712272860000,1712274240000,58860000,60240000,1380000,"Contra Costa College, San Pablo CA 94806, US",,2802 - 2802,37968890,-122339660,101272
Thu 04/04,1712274300000,1712275380000,60300000,61380000,1140000,"Contra Costa College, San Pablo CA 94806, US",,2802 - 2802,37970066,-122339436,101273
Thu 04/04,1712271600000,1712275980000,57600000,61980000,4380000,"152 Bowling Green Dr, San Francisco CA 94122, US",,4402  - 4402,37769876,-122460306,148966
Thu 04/04,1712280420000,1712281260000,66420000,67260000,900000,"Great America Pkwy, Santa Clara CA 95054, US",,2802 - 2802,37390808,-121974745,101328
Fri 05/04,1712267160000,1712326500000,53160000,26100000,59340000,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",001,3501  - 3501,38052987,-122240257,159606
Fri 05/04,1712275680000,1712326860000,61680000,26460000,51240000,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",001,5601 - 5601,38053171,-122240172,283651
Fri 05/04,1712280720000,1712326920000,66720000,26520000,46200000,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",001,4402  - 4402,38053534,-122240567,148998
Fri 05/04,1712258820000,1712327040000,44820000,26640000,68160000,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",001,4403 - 4403,38053026,-122240313,114580
Fri 05/04,1712327400000,1712327940000,27000000,27540000,600000,"824 Willow Ave, Hercules CA 94547, US",,4403 - 4403,38021861,-122262129,114583
Fri 05/04,1712327040000,1712328240000,26640000,27840000,1140000,"Transit Ctr, Hercules CA 94547, US",,3501  - 3501,38013679,-122271808,159610
Fri 05/04,1712330160000,1712330700000,29760000,30300000,540000,"Chinese Immersion School at DeAvila, 1250 Waller Street, San Francisco 94117-2919, US",871,4402  - 4402,37769497,-122443778,149027
Fri 05/04,1712286840000,1712330880000,72840000,30480000,44040000,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",001,2802 - 2802,38053136,-122240171,101389
Fri 05/04,1712330760000,1712331120000,30360000,30720000,360000,"Chinese Immersion School at DeAvila, 1250 Waller Street, San Francisco 94117-2919, US",871,4402  - 4402,37769929,-122445251,149027
Fri 05/04,1712331180000,1712331600000,30780000,31200000,420000,"Willow Ave, Hercules CA 94547, US",,2802 - 2802,38021697,-122262157,101392
Fri 05/04,1712278380000,1712332440000,64380000,32040000,54000000,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",001,3601  - 3601,38053118,-122240252,73146
Fri 05/04,1712331840000,1712333880000,31440000,33480000,2100000,"Chinese Immersion School at DeAvila, 1250 Waller Street, San Francisco 94117-2919, US",871,3501  - 3501,37769482,-122443911,159637
Fri 05/04,1712331180000,1712333940000,30780000,33540000,2760000,"Stevenson (Robert Louis) Elementary, 2051 34th Avenue, San Francisco 94116-1109, US",939,4403 - 4403,37747976,-122492989,114618
