Day,Start date,End date,Start time,End time,Duration,Location,Address No.,Vehicle,Latitude,Longitude,Odometer
Fri 01/12,1701415020000,1701443160000,83820000,25560000,28140000,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",001,4403 - 4403,38053162,-122240147,21745
Fri 01/12,1701443520000,1701445200000,25920000,27600000,1680000,"407 Parker Ave, Rodeo CA 94572, US",,4403 - 4403,38032713,-122266787,21748
Fri 01/12,1701410100000,1701445920000,78900000,28320000,35820000,"4096 Grand Ave, Oakland CA 94610, US",,5601 - 5601,37819273,-122244471,272963
Fri 01/12,1701401580000,1701446280000,70380000,28680000,44700000,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",001,3801  - 3801,38053070,-122240199,394773
Fri 01/12,1701446460000,1701447420000,28860000,29820000,960000,"3530 35th Ave, Oakland CA 94619, US",,5601 - 5601,37793687,-122200785,272967
Fri 01/12,1701399360000,1701448860000,68160000,31260000,49440000,"155 Utah Ave, South San Francisco CA 94080, US",,4001  - 4001,37646174,-122401683,145976
Fri 01/12,1701306360000,1701449100000,61560000,31500000,142740000,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",001,3601  - 3601,38053129,-122240218,63356
Fri 01/12,1701400140000,1701449340000,68940000,31740000,49260000,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",001,4402  - 4402,38052999,-122240124,138807
Fri 01/12,1701449040000,1701449880000,31440000,32280000,840000,"192 E Grand Ave, South San Francisco CA 94080, US",,4001  - 4001,37654260,-122401236,145977
Fri 01/12,1701447540000,1701450300000,29940000,32700000,2760000,"2892 Hopkins Pl, Oakland CA 94602, US",,5601 - 5601,37798778,-122207793,272967
Fri 01/12,1701450600000,1701451200000,33000000,33600000,600000,"Wildcat Creek Regional Trl, Richmond CA 94801, US",,4402  - 4402,37961320,-122362565,138818
Fri 01/12,1701406440000,1701451320000,75240000,33720000,44820000,"157 Utah Ave, South San Francisco CA 94080, US",,2302  - 2302,37646371,-122401586,297477
Fri 01/12,1701449580000,1701451380000,31980000,33780000,1800000,"1338 66th Ave, Oakland CA 94621, US",,3801  - 3801,37761544,-122193999,394802
Fri 01/12,1701452400000,1701453060000,34800000,35460000,660000,"100 North Point St, San Francisco CA 94133, US",,5601 - 5601,37807131,-122409360,272982
Fri 01/12,1701403500000,1701453060000,72300000,35460000,49560000,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",001,2503  - 2503,38053093,-122240152,17791
