"Trip mode","Start time | End time","Departure | Arrival",Odometer,Distance,Driver,Vehicle,Purpose,Contact," "
Business,"04/28/23, 01:19 PM | 04/28/23, 03:21 PM","Departure: DHarris Tours – HQ, Vista del Rio St, Crockett CA 94525, US | Arrival: 911 Mansell St, San Francisco CA 94134, US","47,663.0 mi | 47,705.5 mi","42.5 mi",—,"3601  – 3601",—,—," "
Business,"04/28/23, 02:32 PM | 04/28/23, 03:20 PM","Departure: 2164 Bancroft Ave, San Leandro CA 94577, US | Arrival: Sierrawood Ave, Hayward CA 94544, US","13,071.5 mi | 13,084.5 mi","13.0 mi",—,"4403 – 4403",—,—," "
Business,"04/28/23, 01:22 PM | 04/28/23, 03:04 PM","Departure: New Breitung Rd, Sausalito CA 94965, US | Arrival: Marina Blvd, San Francisco CA 94123, US","135,739.7 mi | 135,753.9 mi","14.2 mi",—,"3501  – 3501",—,—," "
Business,"04/28/23, 01:25 PM | 04/28/23, 02:44 PM","Departure: Marinship Way, Sausalito CA 94965, US | Arrival: 155 Utah Ave, South San Francisco CA 94080, US","11,632.4 mi | 11,656.2 mi","23.7 mi",—,"2503  – 2503",—,—," "
Business,"04/28/23, 12:26 PM | 04/28/23, 02:32 PM","Departure: 340 Sea Mist Dr, Vallejo CA 94591, US | Arrival: DHarris Tours – HQ, 2217 Vista del Rio St, Crockett CA 94525, US","288,257.5 mi | 288,301.6 mi","44.1 mi",—,"2302  – 2302",—,—," "
Business,"04/28/23, 01:08 PM | 04/28/23, 02:26 PM","Departure: Club Dr, Vallejo CA 94592, US | Arrival: DHarris Tours – HQ, Vista del Rio St, Crockett CA 94525, US","122,500.3 mi | 122,533.0 mi","32.7 mi",—,"4402  – 4402",—,—," "
Business,"04/28/23, 11:26 AM | 04/28/23, 01:11 PM","Departure: Glassburn St, Sausalito CA 94965, US | Arrival: New Breitung Rd, Sausalito CA 94965, US","135,687.3 mi | 135,739.7 mi","52.4 mi",—,"3501  – 3501",—,—," "
Business,"04/28/23, 11:26 AM | 04/28/23, 01:07 PM","Departure: Glassburn St, Sausalito CA 94965, US | Arrival: Testa St, Sausalito CA 94965, US","138,147.3 mi | 138,196.4 mi","49.0 mi",—,"4001  – 4001",—,—," "
Business,"04/28/23, 11:28 AM | 04/28/23, 12:54 PM","Departure: Glassburn St, Sausalito CA 94965, US | Arrival: DHarris Tours – HQ, Vista del Rio St, Crockett CA 94525, US","47,623.8 mi | 47,663.0 mi","39.2 mi",—,"3601  – 3601",—,—," "
Business,"04/28/23, 11:58 AM | 04/28/23, 12:32 PM","Departure: Willow Ave, Hercules CA 94547, US | Arrival: Club Dr, Vallejo CA 94592, US","122,489.2 mi | 122,500.3 mi","11.1 mi",—,"4402  – 4402",—,—," "
Business,"04/28/23, 11:38 AM | 04/28/23, 12:22 PM","Departure: 627 S 15th St, Richmond CA 94804, US | Arrival: 2164 Bancroft Ave, San Leandro CA 94577, US","13,049.3 mi | 13,071.5 mi","22.2 mi",—,"4403 – 4403",—,—," "
Business,"04/28/23, 10:54 AM | 04/28/23, 11:48 AM","Departure: 2345 Sutter St, San Francisco CA 94115, US | Arrival: Willow Ave, Hercules CA 94547, US","122,462.5 mi | 122,489.2 mi","26.7 mi",—,"4402  – 4402",—,—," "
Business,"04/28/23, 10:11 AM | 04/28/23, 10:58 AM","Departure: Marinship Way, Sausalito CA 94965, US | Arrival: Glassburn St, Sausalito CA 94965, US","138,141.0 mi | 138,147.3 mi","6.3 mi",—,"4001  – 4001",—,—," "
Business,"04/28/23, 09:26 AM | 04/28/23, 10:50 AM","Departure: DHarris Tours – HQ, Vista del Rio St, Crockett CA 94525, US | Arrival: Glassburn St, Sausalito CA 94965, US","47,584.5 mi | 47,623.8 mi","39.2 mi",—,"3601  – 3601",—,—," "
Business,"04/28/23, 09:33 AM | 04/28/23, 10:18 AM","Departure: Club Dr, Vallejo CA 94592, US | Arrival: 629 S 15th St, Richmond CA 94804, US","13,024.6 mi | 13,049.3 mi","24.6 mi",—,"4403 – 4403",—,—," "
Business,"04/28/23, 09:42 AM | 04/28/23, 10:16 AM","Departure: 4th St, San Francisco CA 94158, US | Arrival: 2347 Sutter St, San Francisco CA 94115, US","122,458.0 mi | 122,462.5 mi","4.5 mi",—,"4402  – 4402",—,—," "
Business,"04/28/23, 09:38 AM | 04/28/23, 10:12 AM","Departure: Ulloa Elementary, 3004 Vicente St, San Francisco CA 94116, US | Arrival: 1245 Appleton St, San Francisco CA 94129, US","8,094.3 mi | 8,101.6 mi","7.3 mi",—,"3602 – 3602",—,—," "
Business,"04/28/23, 08:42 AM | 04/28/23, 09:55 AM","Departure: 77 8th St, Richmond CA 94801, US | Arrival: 340 Sea Mist Dr, Vallejo CA 94591, US","288,227.6 mi | 288,257.5 mi","29.9 mi",—,"2302  – 2302",—,—," "
