Day,Start date,End date,Start time,End time,Duration,Location,Address No.,Vehicle,Latitude,Longitude,Odometer
Fri 01/03,1709261280000,1709307000000,67680000,27000000,45720000,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",001,5601 - 5601,38053049,-122240164,278603
Fri 01/03,1709262120000,1709308440000,68520000,28440000,46380000,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",001,4402  - 4402,38053079,-122240126,146332
Fri 01/03,1708811160000,1709308560000,49560000,28560000,497400000,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",001,2302  - 2302,38053812,-122241052,299882
Fri 01/03,1709245320000,1709308680000,51720000,28680000,63360000,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",001,3801  - 3801,38053183,-122240209,399041
Fri 01/03,1709244240000,1709309280000,50640000,29280000,65040000,"Utah Ave, South San Francisco CA 94080, US",,3602 - 3602,37646597,-122401656,53043
Fri 01/03,1709309880000,1709310960000,29880000,30960000,1020000,"3514 Kansas St, Oakland CA 94619, US",,5601 - 5601,37794395,-122199122,278628
Fri 01/03,1709309580000,1709311260000,29580000,31260000,1680000,"4876 Valley View Rd, El Sobrante CA 94803, US",,2302  - 2302,37970019,-122287787,299890
Fri 01/03,1709310720000,1709311740000,30720000,31740000,1020000,"Marshall Elementary, 1575 15th Street, San Francisco 94103-3639, US",932,3602 - 3602,37766525,-122418693,53053
Fri 01/03,1709310240000,1709313060000,30240000,33060000,2820000,"Wildcat Creek Regional Trl, Richmond CA 94801, US",,3801  - 3801,37961345,-122362542,399053
Fri 01/03,1709277780000,1709313120000,84180000,33120000,35340000,"Valley West Blvd, Arcata CA 95521, US",,3601  - 3601,40901837,-124082499,70176
Fri 01/03,1709310960000,1709313120000,30960000,33120000,2220000,"3718 Brown Ave, Oakland CA 94619, US",,4402  - 4402,37792702,-122197247,146356
Fri 01/03,1709311020000,1709313180000,31020000,33180000,2100000,"3715 Brown Ave, Oakland CA 94619, US",,5601 - 5601,37792693,-122197290,278628
Fri 01/03,1709274780000,1709313300000,81180000,33300000,38520000,"Caterpillar Rd, Redding CA 96003, US",,2802 - 2802,40626184,-122368888,97689
Fri 01/03,1709312940000,1709313360000,32940000,33360000,420000,"Golf Club Rd, Pleasant Hill CA 94523, US",,2302  - 2302,37969902,-122069962,299908
