Vehicle,Day,Start time,End time,Downtime,Duration,Standstill,Start odometer,End odometer,Distance,Driver,Start location,End location,Fuel consumption,Average fuel consumption,+/- Reference (absolute),+/- Reference (relative)
2302  - 2302,Fri 1/13/23,50818000,52751000,1183620000,1920000,1020000,285668,285676,7.8,,"Utah Ave, South San Francisco CA 94080, US","Brown Jr. (Willie L) Middle, 2055 Silver Avenue, San Francisco 94124-2032, US",,0,0,0
2302  - 2302,Fri 1/13/23,54155000,57855000,1380000,3720000,1260000,285676,285687,11,,"Brown Jr. (Willie L) Middle, 2055 Silver Avenue, San Francisco 94124-2032, US","1042 York St, San Francisco CA 94110, US",,0,0,0
2302  - 2302,Fri 1/13/23,59970000,68964000,2100000,9000000,3300000,285687,285718,30.6,,"1049 York St, San Francisco CA 94110, US","Utah Ave, South San Francisco CA 94080, US",,0,0,0
2302  - 2302,Sat 1/14/23,51847000,57169000,69300000,5340000,2580000,285718,285756,37.9,,"Utah Ave, South San Francisco CA 94080, US","DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",,0,0,0
2302  - 2302,Tue 1/17/23,63678000,63867000,265680000,180000,120000,285756,285756,0,,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US","DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",,0,0,0
2302  - 2302,Tue 1/24/23,29760000,33786000,570720000,4020000,1500000,285756,285781,25.4,,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US","DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",,0,0,0
2302  - 2302,Thu 1/26/23,56929000,57865000,195960000,960000,600000,285781,285783,1.5,,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US","1060 Pomona St, Crockett CA 94525, US",,0,0,0
2302  - 2302,Thu 1/26/23,59621000,62784000,1740000,3180000,1140000,285783,285796,13.5,,"1058 Pomona St, Crockett CA 94525, US","4908 Valley View Rd, El Sobrante CA 94803, US",,0,0,0
2302  - 2302,Thu 1/26/23,70683000,72859000,7920000,2160000,780000,285796,285807,10.7,,"4906 Valley View Rd, El Sobrante CA 94803, US","DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",,0,0,0
2302  - 2302,Tue 1/31/23,56155000,57538000,415320000,1380000,1080000,285807,285808,1.6,,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US","1088 Pomona St, Crockett CA 94525, US",,0,0,0
