Vehicle,Day,Start time,End time,Downtime,Duration,Standstill,Start odometer,End odometer,Distance,Driver,Start location,End location,Fuel consumption,Average fuel consumption,+/- Reference (absolute),+/- Reference (relative)
2302  - 2302,Sat 2/5/22,55608000,56379000,438540000,780000,600000,148,148,0,,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US","DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",,0,0,0
2302  - 2302,Tue 2/8/22,56001000,59129000,258840000,3120000,1560000,148,157,9.6,,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US","DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",,0,0,0
2302  - 2302,Wed 2/9/22,52529000,56594000,79800000,4080000,660000,157,198,40.7,,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US","Eden Shores Blvd, Hayward CA 94545, US",,0,0,0
2302  - 2302,Wed 2/9/22,57342000,59033000,720000,1680000,1560000,198,198,0.4,,"Eden Shores Blvd, Hayward CA 94545, US","Eden Park Pl, Hayward CA 94545, US",,0,0,0
2302  - 2302,Wed 2/9/22,60581000,66998000,1560000,6420000,2160000,198,238,40,,"Eden Park Pl, Hayward CA 94545, US","DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",,0,0,0
2302  - 2302,Thu 2/10/22,54771000,55652000,74160000,900000,480000,238,240,1.9,,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US","1090 Pomona St, Crockett CA 94525, US",,0,0,0
2302  - 2302,Thu 2/10/22,57485000,65046000,1860000,7560000,2460000,240,289,48.9,,"1086 Pomona St, Crockett CA 94525, US","Utah Ave, South San Francisco CA 94080, US",,0,0,0
2302  - 2302,Mon 2/14/22,47590000,50151000,328140000,2580000,1140000,289,300,10.9,,"Utah Ave, South San Francisco CA 94080, US","461 Church St, San Francisco CA 94114, US",,0,0,0
2302  - 2302,Mon 2/14/22,53226000,56488000,3060000,3240000,2280000,300,304,4.4,,"452 Church St, San Francisco CA 94114, US","580 San Juan Ave, San Francisco CA 94112, US",,0,0,0
2302  - 2302,Mon 2/14/22,57580000,58532000,1080000,960000,660000,304,305,0.6,,"581 San Juan Ave, San Francisco CA 94112, US","207 Oneida Ave, San Francisco CA 94112, US",,0,0,0
2302  - 2302,Mon 2/14/22,60413000,64706000,1860000,4320000,960000,305,322,17.1,,"207 Oneida Ave, San Francisco CA 94112, US","45th St, Oakland CA 94609, US",,0,0,0
2302  - 2302,Mon 2/14/22,71249000,74001000,6540000,2760000,720000,322,348,25.6,,"45th St, Oakland CA 94609, US","DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",,0,0,0
2302  - 2302,Fri 2/18/22,54385000,60916000,325980000,6540000,2580000,348,384,36.7,,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US","45th St, Oakland CA 94609, US",,0,0,0
2302  - 2302,Fri 2/18/22,62662000,64163000,1740000,1500000,1320000,384,385,0.6,,"45th St, Oakland CA 94609, US","361 45th St, Oakland CA 94609, US",,0,0,0
2302  - 2302,Fri 2/18/22,69971000,76131000,5820000,6180000,2940000,385,421,36.4,,"361 45th St, Oakland CA 94609, US","DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",,0,0,0
2302  - 2302,Mon 2/21/22,41436000,45064000,224520000,3600000,300000,421,458,36.3,,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US","157 Utah Ave, South San Francisco CA 94080, US",,0,0,0
2302  - 2302,Tue 2/22/22,43074000,45644000,84420000,2580000,180000,458,494,36,,"157 Utah Ave, South San Francisco CA 94080, US","DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",,0,0,0
2302  - 2302,Tue 2/22/22,56211000,59906000,10560000,3720000,1680000,494,506,12.2,,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US","DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",,0,0,0
2302  - 2302,Wed 2/23/22,51040000,55991000,77520000,4980000,2880000,506,525,18.8,,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US","DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",,0,0,0
2302  - 2302,Wed 2/23/22,58432000,60056000,2460000,1620000,840000,525,533,8,,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US","4998 Valley View Rd, El Sobrante CA 94803, US",,0,0,0
2302  - 2302,Wed 2/23/22,63326000,65208000,3300000,1860000,540000,533,544,10.7,,"4998 Valley View Rd, El Sobrante CA 94803, US","DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",,0,0,0
2302  - 2302,Thu 2/24/22,56291000,59636000,77460000,3360000,1260000,544,556,12.6,,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US","DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",,0,0,0
