Vehicle,Day,Start time,End time,Downtime,Duration,Standstill,Start odometer,End odometer,Distance,Driver,Start location,End location,Fuel consumption,Average fuel consumption,+/- Reference (absolute),+/- Reference (relative)
2302  - 2302,Mon 8/1/22,41464000,41464000,845880000,0,,3599,281662,278063,,odometer corrected,odometer corrected,,0,0,0
2302  - 2302,Mon 8/1/22,41464000,41624000,0,180000,120000,281662,281662,0,,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US","DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",,0,0,0
2302  - 2302,Tue 8/2/22,48045000,52405000,92820000,4380000,1500000,281662,281700,37.7,,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US","1354 Lowrie Ave, South San Francisco CA 94080, US",,0,0,0
2302  - 2302,Wed 8/3/22,42443000,42684000,76440000,240000,60000,281700,281700,0.5,,"1349 Lowrie Ave, South San Francisco CA 94080, US","1407 San Mateo Ave, South San Francisco CA 94080, US",,0,0,0
2302  - 2302,Wed 8/3/22,48544000,50247000,5880000,1680000,420000,281700,281708,7.7,,"1405 San Mateo Ave, South San Francisco CA 94080, US","1411 San Mateo Ave, South San Francisco CA 94080, US",,0,0,0
2302  - 2302,Wed 8/3/22,51084000,51180000,840000,120000,60000,281708,281708,0.2,,"1411 San Mateo Ave, South San Francisco CA 94080, US","1464 San Mateo Ave, South San Francisco CA 94080, US",,0,0,0
2302  - 2302,Wed 8/3/22,53700000,54861000,2520000,1140000,720000,281708,281710,2.1,,"1462 San Mateo Ave, South San Francisco CA 94080, US","1354 Lowrie Ave, South San Francisco CA 94080, US",,0,0,0
2302  - 2302,Thu 8/4/22,50639000,56762000,82200000,6120000,1680000,281710,281747,36.9,,"1352 Lowrie Ave, South San Francisco CA 94080, US","DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",,0,0,0
2302  - 2302,Fri 8/5/22,34300000,43387000,63960000,9060000,3900000,281747,281785,37.5,,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US","75 Belvedere Dr, Mill Valley CA 94941, US",,0,0,0
2302  - 2302,Fri 8/5/22,46945000,50689000,3540000,3720000,2940000,281785,281789,4.5,,"75 Belvedere Dr, Mill Valley CA 94941, US","Marinship Way, Sausalito CA 94965, US",,0,0,0
2302  - 2302,Fri 8/5/22,58161000,65726000,7500000,7560000,1800000,281789,281819,30.2,,"Marinship Way, Sausalito CA 94965, US","DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",,0,0,0
2302  - 2302,Wed 8/24/22,53590000,57884000,1629480000,4320000,1620000,281819,281845,25.9,,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US","155 Mission Ave, San Rafael CA 94901, US",,0,0,0
2302  - 2302,Wed 8/24/22,70468000,76126000,12600000,5640000,2520000,281845,281872,26.7,,"155 Mission Ave, San Rafael CA 94901, US","DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",,0,0,0
