Vehicle,Day,Start time,End time,Downtime,Duration,Standstill,Start odometer,End odometer,Distance,Driver,Start location,End location,Fuel consumption,Average fuel consumption,+/- Reference (absolute),+/- Reference (relative)
2302  - 2302,Thu 9/1/22,26565000,40345000,210660000,13800000,6360000,281889,281945,55.5,,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US","346 34th Ave, San Francisco CA 94121, US",,0,0,0
2302  - 2302,Thu 9/1/22,42855000,60578000,2520000,17700000,7380000,281945,282009,63.9,,"346 34th Ave, San Francisco CA 94121, US","DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",,0,0,0
2302  - 2302,Sun 9/4/22,51646000,51755000,250260000,120000,0,282009,282009,0.2,,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US","DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",,0,0,0
2302  - 2302,Wed 9/7/22,21742000,27543000,229200000,5820000,2520000,282009,282037,27.7,,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US","464 Sutter St, San Francisco CA 94108, US",,0,0,0
2302  - 2302,Wed 9/7/22,29636000,33934000,2100000,4320000,1860000,282037,282053,16.2,,"452 Sutter St, San Francisco CA 94108, US","2515 Bancroft Way, Berkeley CA 94720, US",,0,0,0
2302  - 2302,Wed 9/7/22,44144000,48295000,10200000,4140000,1320000,282053,282070,16.8,,"2515 Bancroft Way, Berkeley CA 94720, US","489 Sutter St, San Francisco CA 94108, US",,0,0,0
2302  - 2302,Wed 9/7/22,53771000,55687000,5460000,1920000,720000,282070,282075,5.3,,"487 Sutter St, San Francisco CA 94108, US","1372 Ralston Ave, San Francisco CA 94129, US",,0,0,0
2302  - 2302,Wed 9/7/22,59231000,65139000,3540000,5880000,1980000,282075,282107,32.4,,"1372 Ralston Ave, San Francisco CA 94129, US","DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",,0,0,0
2302  - 2302,Thu 9/8/22,21965000,22512000,43200000,540000,180000,282107,282110,2.6,,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US","401 Parker Ave, Rodeo CA 94572, US",,0,0,0
2302  - 2302,Thu 9/8/22,23238000,32599000,720000,9360000,2520000,282110,282177,66.9,,"401 Parker Ave, Rodeo CA 94572, US","E Arques Ave, Sunnyvale CA 94085, US",,0,0,0
2302  - 2302,Thu 9/8/22,38764000,43456000,6180000,4680000,2520000,282177,282198,21.7,,"976 E Arques Ave, Sunnyvale CA 94085, US","Sunset Ln, Menlo Park CA 94025, US",,0,0,0
2302  - 2302,Thu 9/8/22,44350000,46091000,900000,1740000,1260000,282198,282201,2.8,,"Sunset Ln, Menlo Park CA 94025, US","Sand Hill Rd, Menlo Park CA 94025, US",,0,0,0
2302  - 2302,Thu 9/8/22,47233000,53409000,1140000,6180000,1620000,282201,282247,45.4,,"Sand Hill Rd, Menlo Park CA 94025, US","467 Hanover St, San Francisco CA 94112, US",,0,0,0
2302  - 2302,Thu 9/8/22,55593000,56334000,2160000,720000,360000,282247,282248,1.1,,"466 Hanover St, San Francisco CA 94112, US","Morse, Morse Street 755, San Francisco 941124296, US",,0,0,0
2302  - 2302,Thu 9/8/22,57077000,67480000,720000,10380000,4500000,282248,282288,39.8,,"Morse, Morse Street 755, San Francisco 941124296, US","DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",,0,0,0
