Vehicle,Day,Start time,End time,Downtime,Duration,Standstill,Start odometer,End odometer,Distance,Driver,Start location,End location,Fuel consumption,Average fuel consumption,+/- Reference (absolute),+/- Reference (relative)
2302  - 2302,Mon 4/3/23,56604000,60874000,347160000,4260000,720000,287623,287663,39.9,,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US","Utah Ave, South San Francisco CA 94080, US",,0,0,0
2302  - 2302,Fri 4/7/23,41723000,45169000,326460000,3420000,1140000,287663,287681,18.1,,"Utah Ave, South San Francisco CA 94080, US","Marine Dr, San Francisco CA 94129, US",,0,0,0
2302  - 2302,Fri 4/7/23,47006000,51197000,1860000,4200000,1320000,287681,287697,16.2,,"Marine Dr, San Francisco CA 94129, US","Utah Ave, South San Francisco CA 94080, US",,0,0,0
2302  - 2302,Sat 4/8/23,25302000,28915000,60480000,3600000,840000,287697,287726,28.9,,"Utah Ave, South San Francisco CA 94080, US","109 Bahia Way, San Rafael CA 94901, US",,0,0,0
2302  - 2302,Sat 4/8/23,31101000,35050000,2160000,3960000,900000,287726,287756,29.7,,"113 Bahia Way, San Rafael CA 94901, US","Utah Ave, South San Francisco CA 94080, US",,0,0,0
2302  - 2302,Tue 4/11/23,30386000,32336000,254520000,1980000,420000,287756,287770,13.7,,"Utah Ave, South San Francisco CA 94080, US","Giannini (A.P.) Middle, 3151 Ortega Street, San Francisco 94122-4051, US",,0,0,0
2302  - 2302,Tue 4/11/23,33412000,43116000,1080000,9720000,2220000,287770,287870,100.4,,"Giannini (A.P.) Middle, 3151 Ortega Street, San Francisco 94122-4051, US","Esplanade, Sacramento CA 95819, US",,0,0,0
2302  - 2302,Tue 4/11/23,44642000,45869000,1500000,1200000,780000,287870,287872,2.3,,"Esplanade, Sacramento CA 95819, US","2096 Hallmark Dr, Sacramento CA 95825, US",,0,0,0
2302  - 2302,Tue 4/11/23,46721000,49664000,840000,2940000,1260000,287872,287888,15.4,,"2096 Hallmark Dr, Sacramento CA 95825, US","Levee Rd, Davis CA 95618, US",,0,0,0
2302  - 2302,Wed 4/19/23,61773000,62864000,703320000,1080000,480000,287888,287893,4.9,,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US","Sapphire Ct, Hercules CA 94547, US",,0,0,0
2302  - 2302,Wed 4/19/23,64113000,66410000,1260000,2280000,960000,287893,287902,9.7,,"Sapphire Ct, Hercules CA 94547, US","DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",,0,0,0
2302  - 2302,Thu 4/20/23,61391000,69550000,81360000,8160000,2100000,287902,287963,60.9,,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US","DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",,0,0,0
2302  - 2302,Sun 4/23/23,55297000,55340000,244920000,60000,0,287963,287963,0.1,,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US","DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",,0,0,0
2302  - 2302,Tue 4/25/23,47423000,50907000,164880000,3480000,900000,287963,287996,32.3,,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US","2160 Bancroft Ave, San Leandro CA 94577, US",,0,0,0
2302  - 2302,Tue 4/25/23,52698000,55412000,1800000,2700000,1140000,287996,288008,12.8,,"2160 Bancroft Ave, San Leandro CA 94577, US","44 Highland Way, Piedmont CA 94611, US",,0,0,0
2302  - 2302,Tue 4/25/23,60003000,60576000,4620000,600000,420000,288008,288009,0.3,,"44 Highland Way, Piedmont CA 94611, US","47 Vista Ave, Piedmont CA 94611, US",,0,0,0
2302  - 2302,Tue 4/25/23,68158000,72474000,7560000,4320000,600000,288009,288053,44.4,,"24 Vista Ave, Oakland CA 94611, US","DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",,0,0,0
2302  - 2302,Tue 4/25/23,73309000,76170000,840000,2880000,540000,288053,288089,36.1,,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US","22123 Arbor Ave, Hayward CA 94541, US",,0,0,0
2302  - 2302,Wed 4/26/23,29007000,32950000,39240000,3960000,900000,288089,288119,29.4,,"22125 Arbor Ave, Hayward CA 94541, US","6227 Hazel Ave, Richmond CA 94805, US",,0,0,0
2302  - 2302,Wed 4/26/23,33734000,44236000,780000,10500000,3780000,288119,288190,71.5,,"6251 Hazel Ave, Richmond CA 94805, US","DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",,0,0,0
2302  - 2302,Thu 4/27/23,47040000,48154000,89220000,1140000,240000,288190,288201,11.4,,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US","Bissell Ave, Richmond CA 94805, US",,0,0,0
2302  - 2302,Thu 4/27/23,60574000,61081000,12420000,480000,300000,288201,288202,0.6,,"Bissell Ave, Richmond CA 94805, US","394 Wilson Ave, Richmond CA 94805, US",,0,0,0
2302  - 2302,Thu 4/27/23,61750000,64188000,660000,2460000,480000,288202,288215,12.6,,"396 Wilson Ave, Richmond CA 94805, US","DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",,0,0,0
2302  - 2302,Fri 4/28/23,28472000,30601000,50700000,2100000,780000,288215,288228,12.9,,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US","81 8th St, Richmond CA 94801, US",,0,0,0
2302  - 2302,Fri 4/28/23,31361000,35742000,780000,4380000,780000,288228,288257,29.9,,"77 8th St, Richmond CA 94801, US","340 Sea Mist Dr, Vallejo CA 94591, US",,0,0,0
2302  - 2302,Fri 4/28/23,44773000,52350000,9060000,7560000,1440000,288257,288302,44.1,,"340 Sea Mist Dr, Vallejo CA 94591, US","DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",,0,0,0
2302  - 2302,Sat 4/29/23,27336000,32728000,61380000,5400000,1500000,288302,288332,30.1,,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US","3018 Pullman Ave, Richmond CA 94804, US",,0,0,0
2302  - 2302,Sat 4/29/23,41662000,42419000,8940000,780000,120000,288332,288340,8.3,,"3014 Pullman Ave, Richmond CA 94804, US","2983 Pinole Valley Rd, Pinole CA 94564, US",,0,0,0
2302  - 2302,Sat 4/29/23,43761000,47147000,1320000,3360000,540000,288340,288363,22.5,,"2983 Pinole Valley Rd, Pinole CA 94564, US","3016 Pullman Ave, Richmond CA 94804, US",,0,0,0
2302  - 2302,Sat 4/29/23,53935000,55655000,6780000,1740000,360000,288363,288371,8.5,,"3017 Pullman Ave, Richmond CA 94804, US","Hearst Mining Cir, Berkeley CA 94720, US",,0,0,0
