Vehicle,Day,Start time,End time,Downtime,Duration,Standstill,Start odometer,End odometer,Distance,Driver,Start location,End location,Fuel consumption,Average fuel consumption,+/- Reference (absolute),+/- Reference (relative)
2302  - 2302,Sun 01/10,30468000,34701000,220200000,4260000,780000,294138,294187,48.7,,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US","Bayview Trl, Fremont CA 94555, US",,0,0,0
2302  - 2302,Sun 01/10,35516000,60853000,840000,25320000,10320000,294187,294279,91.9,,"Bayview Trl, Fremont CA 94555, US","DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",,0,0,0
2302  - 2302,Mon 02/10,45992000,49491000,71520000,3480000,720000,294279,294313,34.2,,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US","Academy of Arts and Sciences, 555 Portola Drive, San Francisco 94131-1616, US",,0,0,0
2302  - 2302,Mon 02/10,50156000,51495000,660000,1320000,420000,294313,294318,4.7,,"Academy of Arts and Sciences, 555 Portola Drive, San Francisco 94131-1616, US","362 34th Ave, San Francisco CA 94121, US",,0,0,0
2302  - 2302,Mon 02/10,52098000,54961000,600000,2880000,1260000,294318,294325,6.8,,"360 34th Ave, San Francisco CA 94121, US","494 Buckingham Way, San Francisco CA 94132, US",,0,0,0
2302  - 2302,Mon 02/10,57280000,59154000,2340000,1860000,840000,294325,294329,4.5,,"492 Buckingham Way, San Francisco CA 94132, US","Washington (George) High, 600 32nd Avenue, San Francisco 94121-2733, US",,0,0,0
2302  - 2302,Mon 02/10,61875000,62739000,2700000,840000,420000,294329,294330,1.4,,"Washington (George) High, 600 32nd Avenue, San Francisco 94121-2733, US","34th Ave, San Francisco CA 94121, US",,0,0,0
2302  - 2302,Mon 02/10,65625000,71477000,2880000,5880000,2220000,294330,294368,37.3,,"34th Ave, San Francisco CA 94121, US","DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",,0,0,0
2302  - 2302,Tue 03/10,52993000,54105000,67920000,1140000,420000,294368,294376,7.8,,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US","4096 Lakeside Dr, San Pablo CA 94806, US",,0,0,0
2302  - 2302,Tue 03/10,54839000,61554000,720000,6720000,2220000,294376,294436,60.2,,"4096 Lakeside Dr, San Pablo CA 94806, US","39446 Gallaudet Dr, Fremont CA 94538, US",,0,0,0
2302  - 2302,Tue 03/10,69203000,74322000,7620000,5100000,1080000,294436,294486,50.5,,"39444 Gallaudet Dr, Fremont CA 94538, US","DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",,0,0,0
2302  - 2302,Wed 04/10,40874000,44698000,52980000,3840000,1620000,294486,294510,23.8,,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US","Port Chicago Hwy, Pittsburg CA 94565, US",,0,0,0
2302  - 2302,Wed 04/10,47862000,50012000,3180000,2160000,1620000,294510,294513,2.9,,"Port Chicago Hwy, Pittsburg CA 94565, US","Port Chicago Hwy, Concord CA 94520, US",,0,0,0
