Day,Start date,End date,Start time,End time,Duration,Location,Address No.,Vehicle,Latitude,Longitude,Odometer,Driver
Tue 3/1/22,1646084700000,1646149920000,49500000,28320000,65220000,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",001,3501  - 3501,38053040,-122240172,884,
Tue 3/1/22,1645761360000,1646150160000,71760000,28560000,388800000,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",001,3801  - 3801,38053113,-122240247,1318,
Tue 3/1/22,1646153700000,1646154720000,32100000,33120000,1020000,"1335 53rd Ave, Oakland CA 94601, US",,3801  - 3801,37767467,-122206927,1345,
Tue 3/1/22,1646156040000,1646156340000,34440000,34740000,360000,"700 29th St, Oakland CA 94609, US",,3801  - 3801,37818954,-122272434,1352,
Tue 3/1/22,1646157420000,1646158860000,35820000,37260000,1440000,"519 Grand Ave, Oakland CA 94610, US",,3801  - 3801,37808556,-122251332,1358,
Tue 3/1/22,1646105880000,1646161920000,70680000,40320000,55980000,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",001,4402  - 4402,38053122,-122240131,1248,
Tue 3/1/22,1646159040000,1646167020000,37440000,45420000,7980000,"1939 Lakeshore Ave, Oakland CA 94606, US",,3801  - 3801,37803369,-122253579,1359,
Tue 3/1/22,1646165340000,1646167860000,43740000,46260000,2520000,"1081 Eucalyptus Dr, San Francisco CA 94132, US",,4402  - 4402,37731039,-122483742,1284,
Tue 3/1/22,1646167920000,1646168340000,46320000,46740000,420000,"2868 West St, Emeryville CA 94608, US",,3801  - 3801,37818705,-122273847,1364,
Tue 3/1/22,1644380340000,1646169060000,73140000,47460000,1788720000,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",001,3601  - 3601,38053034,-122240254,412,
Tue 3/1/22,1646168340000,1646169120000,46740000,47520000,780000,"711 29th St, Oakland CA 94609, US",,3801  - 3801,37818968,-122272658,1364,
Tue 3/1/22,1646169900000,1646171280000,48300000,49680000,1320000,"Spring St, Pinole CA 94564, US",,3601  - 3601,38005447,-122311396,419,
Tue 3/1/22,1646171880000,1646172600000,50280000,51000000,720000,"983 Bayfair Dr, San Leandro CA 94578, US",,3801  - 3801,37700544,-122123766,1380,
Tue 3/1/22,1646079900000,1646173440000,44700000,51840000,93540000,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",001,2802  - 2802,38053459,-122240517,2245,
Tue 3/1/22,1646173200000,1646173740000,51600000,52140000,540000,"2166 Bancroft Ave, San Leandro CA 94577, US",,3801  - 3801,37718010,-122143649,1382,
Tue 3/1/22,1646173800000,1646175420000,52200000,53820000,1620000,"Wanda St, Crockett CA 94525, US",,2802  - 2802,38053357,-122221829,2247,
Tue 3/1/22,1646175600000,1646176080000,54000000,54480000,540000,"Park Ln, Lafayette CA 94549, US",,3801  - 3801,37905168,-122097248,1403,
Tue 3/1/22,1646094120000,1646176200000,58920000,54600000,82080000,"Utah Ave, South San Francisco CA 94080, US",,3602 - 3602,37646550,-122401670,607,
Tue 3/1/22,1646177700000,1646178060000,56100000,56460000,360000,"Graymont Cir, Concord CA 94518, US",,2802  - 2802,37934928,-122026489,2267,
Tue 3/1/22,1646076660000,1646178060000,41460000,56460000,101400000,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",001,2503  - 2503,38053542,-122240562,263,
