Day,Start date,End date,Start time,End time,Duration,Location,Address No.,Vehicle,Latitude,Longitude,Odometer,Driver
Thu 9/1/22,1661831100000,1662042480000,74700000,26880000,211380000,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",001,2302  - 2302,38053751,-122241042,281889,
Thu 9/1/22,1662045540000,1662045900000,29940000,30300000,360000,"Golden Rain Rd, Walnut Creek CA 94595, US",,2302  - 2302,37870560,-122074503,281911,
Thu 9/1/22,1661983200000,1662053160000,54000000,37560000,69960000,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",001,3601  - 3601,38053031,-122240228,26725,
Thu 9/1/22,1662050700000,1662053160000,35100000,37560000,2460000,"34th Ave, San Francisco CA 94121, US",,2302  - 2302,37785380,-122499207,281944,
Thu 9/1/22,1662053280000,1662058560000,37680000,42960000,5340000,"346 34th Ave, San Francisco CA 94121, US",,2302  - 2302,37782257,-122495470,281945,
Thu 9/1/22,1662058680000,1662059100000,43080000,43500000,420000,"34th Ave, San Francisco CA 94121, US",,2302  - 2302,37785352,-122499227,281945,
Thu 9/1/22,1661998200000,1662060000000,69000000,44400000,61800000,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",001,4402  - 4402,38053011,-122240081,101960,
Thu 9/1/22,1661984100000,1662060960000,54900000,45360000,76920000,"157 Utah Ave, South San Francisco CA 94080, US",,4001  - 4001,37646360,-122401575,128349,
Thu 9/1/22,1661996880000,1662061140000,67680000,45540000,64200000,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",001,3801  - 3801,38053123,-122240215,375493,
Thu 9/1/22,1662061140000,1662062040000,45540000,46440000,900000,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",001,3801  - 3801,38053412,-122240886,375493,
Thu 9/1/22,1662053160000,1662062520000,37560000,46920000,9360000,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",001,3601  - 3601,38053061,-122240290,26725,
Thu 9/1/22,1662062220000,1662062580000,46620000,46980000,360000,"754 2nd St, San Francisco CA 94107, US",,2302  - 2302,37780202,-122390057,281956,
Thu 9/1/22,1662061980000,1662063000000,46380000,47400000,1020000,"213 Bayshore Blvd, San Francisco CA 94124, US",,4001  - 4001,37744684,-122404306,128356,
Thu 9/1/22,1662062640000,1662064680000,47040000,49080000,2040000,"13850 E 14th St, San Leandro CA 94578, US",,4402  - 4402,37714564,-122141600,101988,
Thu 9/1/22,1662064080000,1662066780000,48480000,51180000,2640000,"1772 Mission St, San Francisco CA 94103, US",,2302  - 2302,37768685,-122420122,281959,
Thu 9/1/22,1662065700000,1662066900000,50100000,51300000,1140000,"38 Yale St, San Francisco CA 94134, US",,3601  - 3601,37728586,-122418284,26755,
Thu 9/1/22,1662065100000,1662066960000,49500000,51360000,1860000,"356 Goettingen St, San Francisco CA 94134, US",,3801  - 3801,37727185,-122406771,375523,
Thu 9/1/22,1662067500000,1662068520000,51900000,52920000,1080000,"579 Bryant St, San Francisco CA 94107, US",,2302  - 2302,37779871,-122397610,281961,
