Vehicle,Day,Start time,End time,Downtime,Duration,Standstill,Start odometer,End odometer,Distance,Driver,Start location,End location,Fuel consumption,Average fuel consumption,+/- Reference (absolute),+/- Reference (relative)
2302  - 2302,Wed 3/1/23,46958000,50212000,510120000,3240000,540000,287208,287238,30.4,,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US","Academy of Arts and Sciences, 555 Portola Drive, San Francisco 94131-1616, US",,0,0,0
2302  - 2302,Wed 3/1/23,52712000,55081000,2520000,2340000,960000,287238,287243,5,,"Academy of Arts and Sciences, 555 Portola Drive, San Francisco 94131-1616, US","348 34th Ave, San Francisco CA 94121, US",,0,0,0
2302  - 2302,Wed 3/1/23,64692000,73750000,9600000,9060000,2760000,287243,287280,36.9,,"342 34th Ave, San Francisco CA 94121, US","DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",,0,0,0
2302  - 2302,Thu 3/2/23,48580000,49986000,61260000,1380000,1080000,287280,287281,1.6,,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US","3rd Ave, Crockett CA 94525, US",,0,0,0
2302  - 2302,Thu 3/2/23,51355000,53385000,1380000,2040000,180000,287281,287299,18,,"3rd Ave, Crockett CA 94525, US","1791 Rose St, Berkeley CA 94703, US",,0,0,0
2302  - 2302,Thu 3/2/23,54934000,58325000,1560000,3420000,1560000,287299,287305,5.5,,"1787 Rose St, Berkeley CA 94703, US","1791 Rose St, Berkeley CA 94703, US",,0,0,0
2302  - 2302,Thu 3/2/23,65398000,70214000,7080000,4800000,2100000,287305,287324,19.3,,"1791 Rose St, Berkeley CA 94703, US","DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",,0,0,0
2302  - 2302,Wed 3/8/23,63955000,64119000,512160000,180000,60000,287324,287324,0,,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US","DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",,0,0,0
2302  - 2302,Sat 3/18/23,27362000,30605000,823620000,3240000,900000,287324,287360,36.1,,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US","Utah Ave, South San Francisco CA 94080, US",,0,0,0
2302  - 2302,Tue 3/21/23,76739000,81729000,305340000,4980000,660000,287360,287382,21.2,,"Utah Ave, South San Francisco CA 94080, US","4061 Grand Ave, Oakland CA 94610, US",,0,0,0
2302  - 2302,Wed 3/22/23,24718000,26711000,29400000,1980000,360000,287382,287404,22.1,,"4032 Grand Ave, Oakland CA 94610, US","DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",,0,0,0
2302  - 2302,Thu 3/23/23,28504000,36777000,88200000,8280000,2160000,287404,287464,60.1,,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US","DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",,0,0,0
2302  - 2302,Thu 3/23/23,41666000,41704000,4860000,60000,60000,287464,287464,0,,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US","DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",,0,0,0
2302  - 2302,Fri 3/24/23,50216000,62361000,94920000,12120000,4860000,287464,287516,52.5,,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US","Buckingham Way, San Francisco CA 94132, US",,0,0,0
2302  - 2302,Fri 3/24/23,65720000,71663000,3360000,5940000,1380000,287516,287554,37.7,,"Buckingham Way, San Francisco CA 94132, US","DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",,0,0,0
2302  - 2302,Sat 3/25/23,63533000,64029000,78300000,480000,420000,287554,287554,0.1,,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US","DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",,0,0,0
2302  - 2302,Thu 3/30/23,28904000,36877000,396900000,7980000,3780000,287554,287588,33.8,,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US","Francisco Middle, 2190 Powell Street, San Francisco 94133-1949, US",,0,0,0
2302  - 2302,Thu 3/30/23,46059000,55033000,9180000,9000000,4380000,287588,287623,35.1,,"Francisco Middle, 2190 Powell Street, San Francisco 94133-1949, US","DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",,0,0,0
2503  - 2503,Fri 3/3/23,48352000,54227000,617580000,5880000,1860000,9897,9937,40.3,,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US","1536 Grayson Ave, St. Helena CA 94574, US",,0,0,0
2503  - 2503,Fri 3/3/23,66274000,70587000,12060000,4320000,660000,9937,9978,40.9,,"1013 Grayson Ave, St. Helena CA 94574, US","DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",,0,0,0
2503  - 2503,Wed 3/8/23,25374000,35095000,386760000,9720000,2220000,9978,10028,50,,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US","Frontage Rd, Berkeley CA 94710, US",,0,0,0
2503  - 2503,Wed 3/8/23,36260000,37814000,1140000,1560000,1260000,10028,10031,2.4,,"University Ave, Berkeley CA 94710, US","9, Emeryville CA 94608, US",,0,0,0
2503  - 2503,Wed 3/8/23,42397000,42397000,4560000,0,,10031,10033,2.2,,odometer corrected,odometer corrected,,0,0,0
2503  - 2503,Wed 3/8/23,42397000,44103000,0,1680000,180000,10033,10050,16.9,,"488 University Ave, Berkeley CA 94710, US","2240 Bancroft Ave, San Leandro CA 94577, US",,0,0,0
2503  - 2503,Wed 3/8/23,48259000,48850000,4140000,600000,540000,10050,10050,0.1,,"2236 Bancroft Ave, San Leandro CA 94577, US","2198 Bancroft Ave, San Leandro CA 94577, US",,0,0,0
2503  - 2503,Wed 3/8/23,51914000,56130000,3060000,4200000,480000,10050,10084,34,,"2194 Bancroft Ave, San Leandro CA 94577, US","DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",,0,0,0
