Vehicle,Day,Start time,End time,Downtime,Duration,Standstill,Start odometer,End odometer,Distance,Driver,Start location,End location,Fuel consumption,Average fuel consumption,+/- Reference (absolute),+/- Reference (relative)
2302  - 2302,Sun 2/5/23,33384000,36737000,389880000,3360000,1380000,285823,285844,21.6,,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US","DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",,0,0,0
2302  - 2302,Wed 2/8/23,29133000,37706000,251580000,8580000,3180000,285844,285890,46.2,,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US","3733 Klose Way, San Pablo CA 94806, US",,0,0,0
2302  - 2302,Wed 2/8/23,42304000,43073000,4620000,780000,240000,285890,285892,1.5,,"Klose Way, San Pablo CA 94806, US","Fitzgerald Dr, Pinole CA 94564, US",,0,0,0
2302  - 2302,Wed 2/8/23,44175000,50812000,1080000,6660000,2880000,285892,285938,46.5,,"Fitzgerald Dr, Pinole CA 94564, US","DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",,0,0,0
2302  - 2302,Fri 2/10/23,40656000,45051000,162660000,4380000,2040000,285938,285962,23.3,,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US","DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",,0,0,0
2302  - 2302,Sun 2/12/23,30610000,35673000,158340000,5040000,2460000,285962,285996,34.4,,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US","1565 Holloway Ave, San Francisco CA 94132, US",,0,0,0
2302  - 2302,Sun 2/12/23,36308000,42050000,660000,5760000,1440000,285996,286041,44.6,,"1565 Holloway Ave, San Francisco CA 94132, US","1753 Portola State Park Rd, La Honda CA 94020, US",,0,0,0
2302  - 2302,Sun 2/12/23,50491000,60541000,8460000,10080000,1260000,286041,286120,79.7,,"1754 Portola State Park Rd, La Honda CA 94020, US","DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",,0,0,0
2302  - 2302,Mon 2/13/23,22930000,26327000,48780000,3420000,480000,286120,286153,32.3,,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US","14739 Juniper St, San Leandro CA 94579, US",,0,0,0
2302  - 2302,Mon 2/13/23,28256000,29390000,1920000,1140000,840000,286153,286153,0.6,,"14743 Juniper St, San Leandro CA 94579, US","Willow Ave, San Leandro CA 94579, US",,0,0,0
2302  - 2302,Mon 2/13/23,30809000,36410000,1440000,5580000,420000,286153,286215,61.2,,"Willow Ave, San Leandro CA 94579, US","41 Conference Dr, Felton CA 95041, US",,0,0,0
2302  - 2302,Mon 2/13/23,37088000,37966000,660000,900000,600000,286215,286215,0.9,,"41 Conference Dr, Felton CA 95041, US","Graham Hill Rd, Felton CA 95018, US",,0,0,0
2302  - 2302,Mon 2/13/23,39840000,40244000,1860000,420000,360000,286215,286216,0.1,,"Graham Hill Rd, Felton CA 95018, US","6234 Graham Hill Rd, Felton CA 95018, US",,0,0,0
2302  - 2302,Mon 2/13/23,42054000,49823000,1800000,7740000,1200000,286216,286307,91.3,,"6232 Graham Hill Rd, Felton CA 95018, US","DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",,0,0,0
2302  - 2302,Tue 2/14/23,44510000,47142000,81060000,2640000,2040000,286307,286312,5.3,,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US","2892 Pinole Valley Rd, Pinole CA 94564, US",,0,0,0
2302  - 2302,Tue 2/14/23,47858000,54555000,720000,6720000,2100000,286312,286354,42.1,,"2892 Pinole Valley Rd, Pinole CA 94564, US","842 Laguna St, San Francisco CA 94115, US",,0,0,0
2302  - 2302,Tue 2/14/23,55164000,57710000,600000,2520000,1380000,286354,286358,4.1,,"836 Laguna St, San Francisco CA 94115, US","178 Sheridan Ave, San Francisco CA 94129, US",,0,0,0
2302  - 2302,Tue 2/14/23,59399000,59791000,1680000,420000,120000,286358,286359,0.9,,"178 Sheridan Ave, San Francisco CA 94129, US","603 Mason St, San Francisco CA 94129, US",,0,0,0
2302  - 2302,Tue 2/14/23,63446000,70620000,3660000,7200000,1920000,286359,286394,34.2,,"603 Mason St, San Francisco CA 94129, US","DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",,0,0,0
2302  - 2302,Thu 2/16/23,27159000,34992000,129360000,7860000,2400000,286394,286432,38.4,,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US","454 Buckingham Way, San Francisco CA 94132, US",,0,0,0
2302  - 2302,Thu 2/16/23,44087000,44334000,9120000,240000,120000,286432,286432,0.3,,"444 Buckingham Way, San Francisco CA 94132, US","Buckingham Way, San Francisco CA 94132, US",,0,0,0
2302  - 2302,Thu 2/16/23,50240000,51218000,5880000,960000,720000,286432,286433,0.9,,"Buckingham Way, San Francisco CA 94132, US","832 Font Blvd, San Francisco CA 94132, US",,0,0,0
2302  - 2302,Thu 2/16/23,52387000,58629000,1140000,6240000,840000,286433,286471,37.7,,"834 Font Blvd, San Francisco CA 94132, US","DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",,0,0,0
2302  - 2302,Fri 2/17/23,29156000,34111000,56940000,4980000,2340000,286471,286486,15.2,,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US","Ohio Ave, Richmond CA 94804, US",,0,0,0
2302  - 2302,Fri 2/17/23,36920000,37574000,2820000,660000,120000,286486,286490,3.7,,"Ohio Ave, Richmond CA 94804, US","4172 San Pablo Dam Rd, El Sobrante CA 94803, US",,0,0,0
