Day,Start date,End date,Start time,End time,Duration,Location,Address No.,Vehicle,Latitude,Longitude,Odometer,Driver
Tue 2/1/22,1643696580000,1643730060000,80580000,27660000,33480000,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",001,4402  - 4402,38053110,-122240138,454,
Tue 2/1/22,1643732520000,1643735820000,30120000,33420000,3300000,"928 Campbell St, Oakland CA 94607, US",,4402  - 4402,37808727,-122297831,474,
Tue 2/1/22,1643736420000,1643736960000,34020000,34560000,480000,"709 29th St, Oakland CA 94609, US",,4402  - 4402,37818946,-122272595,477,
Tue 2/1/22,1643737020000,1643746980000,34620000,44580000,9960000,"2828 West St, Emeryville CA 94608, US",,4402  - 4402,37818425,-122273897,477,
Tue 2/1/22,1643747040000,1643750100000,44640000,47700000,3060000,"710 29th St, Oakland CA 94609, US",,4402  - 4402,37818984,-122272625,477,
Tue 2/1/22,1643752320000,1643755140000,49920000,52740000,2820000,"2166 Bancroft Ave, San Leandro CA 94577, US",,4402  - 4402,37717968,-122143642,493,
Tue 2/1/22,1643662380000,1643755800000,46380000,53400000,93420000,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",001,2802  - 2802,38053557,-122240661,649,
Tue 2/1/22,1643756760000,1643759100000,54360000,56700000,2340000,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",001,2802  - 2802,38053757,-122241014,655,
Wed 2/2/22,1643761140000,1643821680000,58740000,32880000,60600000,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",001,2802  - 2802,38053525,-122240592,666,
Wed 2/2/22,1643758200000,1643833800000,55800000,45000000,75600000,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",001,4402  - 4402,38053129,-122240135,527,
Wed 2/2/22,1643834160000,1643834700000,45360000,45900000,540000,"407 Parker Ave, Rodeo CA 94572, US",,4402  - 4402,38032678,-122266844,529,
Wed 2/2/22,1643660340000,1643838420000,44340000,49620000,178020000,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",001,3801  - 3801,38053505,-122240547,380,
Wed 2/2/22,1643821800000,1643838480000,33000000,49680000,16680000,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",001,2802  - 2802,38053157,-122240191,666,
Wed 2/2/22,1643836920000,1643839320000,48120000,50520000,2460000,"2168 Bancroft Ave, San Leandro CA 94577, US",,4402  - 4402,37717948,-122143610,559,
Wed 2/2/22,1643742600000,1643840940000,40200000,52140000,98340000,"Utah Ave, South San Francisco CA 94080, US",,3602 - 3602,37646524,-122401646,227,
Wed 2/2/22,1643840640000,1643841120000,51840000,52320000,540000,"1711 Fairmont Dr, San Leandro CA 94578, US",,3801  - 3801,37706884,-122123174,412,
Wed 2/2/22,1643841420000,1643841780000,52620000,52980000,360000,"13606 Bancroft Ave, San Leandro CA 94578, US",,3801  - 3801,37715782,-122140673,414,
Wed 2/2/22,1643841900000,1643842380000,53100000,53580000,480000,"2170 Bancroft Ave, San Leandro CA 94577, US",,3801  - 3801,37717920,-122143588,414,
Wed 2/2/22,1643841000000,1643843160000,52200000,54360000,2160000,"2903 Polk St, San Francisco CA 94109, US",,2802  - 2802,37803595,-122423426,694,
Wed 2/2/22,1643843340000,1643845020000,54540000,56220000,1680000,"3916 Mabel Ave, Castro Valley CA 94546, US",,3801  - 3801,37703103,-122075921,420,
Wed 2/2/22,1643844360000,1643845500000,55560000,56700000,1140000,"613 30th Ave, San Francisco CA 94121, US",,2802  - 2802,37777700,-122490007,700,
Wed 2/2/22,1643846040000,1643846460000,57240000,57660000,480000,"740 2nd Ave, San Francisco CA 94118, US",,2802  - 2802,37774999,-122459523,702,
Wed 2/2/22,1643846340000,1643848740000,57540000,59940000,2400000,"2164 Bancroft Ave, San Leandro CA 94577, US",,3801  - 3801,37718033,-122143637,426,
Wed 2/2/22,1643840220000,1643851320000,51420000,62520000,11100000,"Grant Ave, San Lorenzo CA 94580, US",,4402  - 4402,37678200,-122141506,563,
