Day,Start date,End date,Start time,End time,Duration,Location,Address No.,Vehicle,Latitude,Longitude,Odometer,Driver
Sat 10/1/22,1664597040000,1664636880000,75840000,29280000,39780000,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",001,3601  - 3601,38053078,-122240174,28563,
Sat 10/1/22,1664584680000,1664640120000,63480000,32520000,55440000,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",001,3801  - 3801,38053814,-122241026,377299,
Sat 10/1/22,1664640420000,1664641080000,32820000,33480000,720000,"401 Parker Ave, Rodeo CA 94572, US",,3801  - 3801,38032665,-122266841,377302,
Sat 10/1/22,1664638680000,1664642340000,31080000,34740000,3660000,"1365 Derby Ave, Oakland CA 94601, US",,3601  - 3601,37778592,-122227370,28588,
Sat 10/1/22,1664644440000,1664644740000,36840000,37140000,300000,"Chain of Lakes Dr W, San Francisco CA 94122, US",,3801  - 3801,37767808,-122501907,377333,
Sat 10/1/22,1664644260000,1664644860000,36660000,37260000,660000,"Point Pinole Trl, San Pablo CA 94806, US",,3601  - 3601,37991965,-122355986,28610,
Sat 10/1/22,1664568360000,1664647140000,47160000,39540000,78720000,"DHarris Tours, 2207 Vista Del Rio St, Vallejo 94525, US",001,3501  - 3501,38053136,-122240372,121799,
Sat 10/1/22,1664649420000,1664649780000,41820000,42180000,360000,"Chain of Lakes Dr W, San Francisco CA 94122, US",,3801  - 3801,37767770,-122501900,377341,
Sat 10/1/22,1664651880000,1664652360000,44280000,44760000,480000,"1291 John F Kennedy Dr, San Francisco CA 94122, US",,3601  - 3601,37768304,-122499904,28646,
Sat 10/1/22,1664651880000,1664652360000,44280000,44760000,480000,"1287 John F Kennedy Dr, San Francisco CA 94122, US",,3801  - 3801,37768372,-122499695,377344,
Sat 10/1/22,1664651460000,1664652360000,43860000,44760000,900000,"Shoreline Hwy, Mill Valley CA 94941, US",,3501  - 3501,37874281,-122596801,121834,
